@relation bank1-10
@attribute att0 real
@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute label {1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0}
@data
1.61256,-0.79718,-1.02671,0.64398,-0.18115,-0.54494,-1.59192,-0.45107,7.0
-0.00283,0.08709,0.48269,0.76473,-0.29277,2.12569,-0.11276,-0.45107,10.0
-1.18831,0.06117,-0.40441,-0.04243,0.78717,1.80583,0.22386,-1.3389,10.0
-0.8982,-1.09488,-1.62132,0.83735,0.32573,1.15794,1.11873,0.43676,9.0
-0.31983,-1.67141,-0.88156,1.51316,0.13078,-0.79457,0.09396,1.32459,3.0
-1.24764,-0.00612,-1.41683,-0.57026,-0.35713,0.24543,0.38845,0.43676,6.0
0.66036,1.3738,0.00465,0.95766,-0.78955,-0.91901,1.11443,1.32459,1.0
-1.34394,1.32769,-0.68632,0.73627,0.52104,-0.35994,-1.202,-1.3389,6.0
0.52964,0.84884,-0.28326,0.33248,-0.70249,0.691,-1.59549,1.32459,7.0
0.50544,0.40835,1.31204,-0.16758,-0.81012,-0.96401,-1.45116,0.43676,1.0
0.14211,-1.46541,-0.30886,-0.90218,0.58725,-0.83501,-0.09868,0.43676,4.0
-1.48092,-0.00248,0.69416,1.37353,-0.56384,1.3703,1.75675,-0.45107,8.0
-1.09702,0.32798,0.0707,-0.74675,-0.92521,-0.7063,1.07467,-0.45107,1.0
-0.18466,0.67896,0.62053,-0.61599,0.41979,0.74979,1.26151,0.43676,8.0
1.3653,1.1739,1.34716,1.25081,-0.38003,-0.08848,0.74899,-0.45107,5.0
-1.00566,-0.80885,1.33988,-1.19052,-0.98799,0.33021,0.26755,0.43676,5.0
-0.68885,1.04469,-0.04202,-1.20546,0.20041,-0.42261,-1.37748,1.32459,5.0
-1.32796,1.30978,0.35933,-0.58339,-0.08073,1.09925,1.50358,-0.45107,9.0
-0.69026,0.0499,1.46709,-1.17597,-0.35471,-0.77194,0.86842,1.32459,2.0
-1.61688,0.70702,-1.31205,0.80414,1.30838,0.92751,1.1398,1.32459,10.0
-0.24401,-0.61771,-0.49689,-1.45076,-0.44829,0.26949,-1.39122,-0.45107,7.0
0.14163,-0.34886,1.15202,-0.6472,-0.11666,-0.90981,0.91903,-1.3389,3.0
0.03177,1.19711,-0.35494,1.6171,-0.51038,-0.65948,0.27074,0.43676,2.0
0.31698,1.40161,0.35618,1.73788,-0.62323,-0.42056,0.72568,-0.45107,3.0
1.23291,-0.32338,0.74621,0.51791,-0.09108,-0.40527,1.10718,-1.3389,4.0
