@relation bank2-10
@attribute att0 real
@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute att8 real
@attribute att9 real
@attribute att10 real
@attribute att11 real
@attribute att12 real
@attribute att13 real
@attribute att14 real
@attribute att15 real
@attribute att16 real
@attribute att17 real
@attribute att18 real
@attribute att19 real
@attribute att20 real
@attribute att21 real
@attribute att22 real
@attribute att23 real
@attribute att24 real
@attribute att25 real
@attribute att26 real
@attribute att27 real
@attribute att28 real
@attribute att29 real
@attribute att30 real
@attribute att31 real
@attribute label {1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0}
@data
1.60361,1.45794,-0.28794,-0.82854,0.56932,0.2441,0.71568,-1.38745,-0.64629,4.15704,0.88437,-0.82171,-1.04163,0.2808,0.90412,2.28727,-0.62749,-0.8977,-0.25689,-1.57402,1.4518,-0.59947,0.42732,1.28516,-0.17906,-1.22154,1.73171,-1.30159,-1.19361,-0.00664,0.51495,-1.40934,3.0
0.19819,0.75346,0.12612,0.63533,1.52034,-0.91162,-0.77794,1.0308,1.23857,-0.93222,-1.09781,-0.72706,1.43103,-0.10076,-0.67709,-0.58157,-1.71565,-0.46358,1.64305,-0.89022,-1.0351,0.64034,0.22797,-1.51863,-1.08874,0.6157,-1.24279,-1.29216,0.3862,-1.22821,1.54309,-0.7057,1.0
1.35448,-1.47481,2.11974,0.0373,-1.47098,-0.77103,-0.11599,-1.46437,-0.43211,-0.60573,0.86674,-0.14329,0.52963,0.86522,0.32289,0.14097,0.62563,0.32641,0.78019,1.54754,0.60491,0.02043,0.69242,0.0952,-1.48042,0.00329,-0.02111,0.99849,-0.2854,-0.61743,1.34611,-0.7057,4.0
-0.32368,0.68766,-0.30097,0.26212,-0.74998,-0.49069,1.50347,0.15683,0.64412,3.40053,-0.48554,-0.9667,-0.3422,0.60677,1.15569,2.4827,1.49114,-0.08197,1.22596,0.25481,0.25481,2.50005,-0.55087,-1.39577,1.4151,2.45294,-0.41096,-0.961,-0.69559,1.82573,-0.18694,1.40521,2.0
1.49616,0.90435,-0.04965,0.9356,1.55113,0.08231,-0.34233,-0.4131,-0.71096,-0.60309,0.95357,0.0649,-0.71625,-1.35829,-0.6207,-0.04304,0.13426,0.15673,0.96202,0.56497,1.5306,1.88014,1.67981,0.30809,0.51399,0.6157,1.62885,1.55494,-0.23146,1.21494,1.0523,1.40521,5.0
-0.19053,-0.6555,-0.97701,-0.10438,-1.59155,-0.00175,0.60733,-1.55284,2.35358,0.34032,0.13089,-0.73711,-0.19681,0.77283,-0.48621,-0.61367,-0.12719,-0.16121,-0.22255,-0.84989,-0.66093,0.02043,-0.95456,1.11771,1.33366,-0.60912,-1.12025,0.3137,-1.71747,-0.00664,-0.0418,-1.40934,10.0
-0.07632,0.67464,2.25471,1.41183,0.22656,-0.383,1.52279,-0.39151,-0.86218,-0.31884,0.30917,-0.30886,0.80141,-0.63603,-0.58623,-0.64232,-0.74998,-0.87883,1.07613,0.84011,0.78752,0.02043,0.30433,0.39099,-0.49346,0.6157,1.26104,0.88561,-1.54139,-0.00664,-0.08891,-0.7057,5.0
1.18719,-0.43251,1.21678,-0.40986,0.06419,-0.80199,0.89049,-0.8128,-0.47375,-0.97274,0.91144,-0.46362,0.75984,1.01185,-0.76922,-0.74205,1.53405,-0.65805,-1.19176,-0.16269,-0.07182,-0.59947,-1.66936,-0.66328,-1.31423,0.6157,-1.17924,0.19418,-1.34594,-1.22821,0.46765,0.70158,4.0
0.33642,0.46571,2.42234,-0.9728,-0.98258,0.49123,-0.79151,-1.10177,-0.33899,-0.87079,0.47544,0.15399,-0.47981,-0.61277,0.49197,1.29033,-0.24132,-0.9162,-0.22002,-1.22486,1.1641,-0.59947,1.27395,-0.22317,1.7304,-0.60912,1.26482,-1.22538,0.54287,-1.22821,-0.0151,-1.40934,7.0
-0.41842,-0.8878,-0.71565,-0.04374,0.44033,0.51641,-0.78875,1.43362,0.38331,-0.59326,-0.45512,-0.33668,0.6167,0.42264,-0.24488,-0.45909,-0.43959,-0.14291,-1.63988,-0.88552,1.60992,0.02043,-1.34224,-0.20836,-0.56731,-1.22154,-1.21446,-1.50314,0.00443,-1.22821,1.55231,-0.7057,7.0
0.31442,-0.38769,0.8511,1.33804,1.20845,-0.94853,-1.67721,0.25512,-0.10258,-0.09429,1.47168,0.2459,-1.18767,-0.33965,-0.25689,-0.6883,1.20361,-0.64494,1.68454,-0.31554,1.12547,-0.59947,1.50981,-0.106,-0.43168,-0.60912,1.08835,1.56649,-1.22733,0.60415,-1.34715,-0.00206,1.0
-0.59568,-0.05673,-0.16666,-0.89911,-0.57636,-0.72359,0.52364,-1.0921,3.36349,-0.16017,0.03937,0.49057,0.6822,-0.78774,-0.77632,-0.79889,-1.5801,-0.95848,-1.49408,0.73202,-1.09053,-1.21938,-0.28578,-0.926,0.10262,0.00329,-1.18601,-1.72376,-1.59599,-0.61743,-0.82574,-1.40934,5.0
-1.45518,-0.16153,0.45514,0.09931,-0.63816,-0.07709,1.22365,-1.53518,-0.17955,-0.59838,-1.34776,0.42532,1.75097,-1.54352,-1.00027,0.1811,1.19383,-0.9409,0.62991,0.93429,0.22,0.64034,0.73078,0.12711,0.93139,-0.60912,-0.8291,-0.69738,0.66865,-1.22821,0.1771,-0.00206,3.0
1.29144,-0.68826,3.74038,1.54781,1.56892,-0.97456,-0.56279,0.64021,-0.36141,-0.10659,0.82424,-0.96621,-1.47198,-0.08125,-0.67314,0.62118,-0.9437,-0.81206,-1.49998,1.08366,1.21693,-1.21938,-0.05747,-1.46557,0.81617,0.00329,-1.52665,0.93208,-1.01179,-0.00664,-0.27347,-1.40934,1.0
0.81047,-0.81557,1.3985,-0.74668,-1.49781,-0.41797,1.32585,-1.49277,-0.45861,-0.23514,0.79322,-0.5798,1.19327,-0.16672,0.39596,1.03591,0.6272,1.39031,1.69567,0.92333,-0.55139,-1.21938,-1.58068,0.86713,0.80642,-0.60912,0.93865,-1.02154,-0.65869,0.60415,0.83896,-0.7057,9.0
-1.18456,-1.17816,-0.057,0.31841,-0.66717,-0.74177,-1.19717,-0.77759,0.09893,0.24158,1.62224,-0.41463,-0.42226,0.33088,-0.2765,3.34536,1.72734,0.49949,-0.57518,-1.31204,-0.99413,0.64034,-1.32954,-0.60713,-0.70459,0.6157,1.21554,-1.66344,0.95981,1.21494,0.67119,-0.00206,7.0
0.17566,0.63868,0.08194,-0.82858,0.57226,0.38035,1.09908,1.69829,-0.74306,-0.12861,-0.16713,-0.10756,0.28544,-1.03759,0.85414,-0.81005,1.64372,-0.81841,0.94815,-0.66349,1.41335,0.02043,0.34661,1.28663,-1.09614,-1.22154,1.70974,-0.65815,1.42377,1.21494,1.24558,0.70158,5.0
-1.65927,1.35767,-0.41839,-0.47258,-0.68498,-0.51002,0.23335,0.00237,0.98626,-0.85218,1.3026,-0.69673,0.40983,-1.60222,0.12104,-0.92362,-1.09022,0.95812,0.56115,-0.42293,-1.58163,1.26024,0.01167,0.93364,-1.53529,0.00329,-1.34242,-1.53068,1.06868,1.21494,0.61969,-0.00206,9.0
1.01219,-0.62492,1.6664,-0.61735,-0.0158,-0.82615,-1.1357,1.65094,0.36425,-0.03476,-0.02088,1.86482,-0.55376,-0.63811,-0.99779,0.73357,1.32024,0.77302,-0.52453,0.03594,-0.80471,0.02043,-0.51384,0.25651,-0.67765,0.00329,-0.05056,0.25648,-1.00841,0.60415,0.56789,-0.7057,9.0
-1.2227,0.01234,-0.39073,0.43132,-0.97353,-0.44269,-0.28338,1.28491,0.35695,-0.25894,-0.05148,0.6467,1.10699,1.52491,-0.27107,-0.98721,0.62556,-0.03423,0.52262,0.9451,-0.89098,-0.59947,0.94424,-0.64633,-1.11709,-1.22154,-0.80051,0.82362,-0.88428,-0.61743,-0.15906,-0.00206,6.0
-1.14278,1.02587,0.29475,5.90221,0.47595,-0.76401,1.71334,1.26986,0.12669,0.27849,1.4315,0.30637,0.49069,0.38211,1.70703,2.57795,0.21229,0.75072,0.81331,0.93611,1.54177,0.02043,-0.25682,0.82733,-1.27032,-0.60912,-0.68537,-0.02284,-1.59106,-0.00664,-1.64346,-1.40934,8.0
-0.96405,0.79822,-0.0717,-0.74005,-0.97205,-0.93289,1.00309,0.21822,0.35815,-0.87325,-0.19287,-0.56609,-0.21102,0.26631,-0.58247,-0.18523,0.6239,-0.5742,0.22431,-0.63958,1.0315,-0.59947,-0.70407,0.48602,1.38243,-0.60912,0.37765,-1.57557,1.05376,-1.22821,1.70775,-1.40934,2.0
0.83226,1.71667,-0.4985,-0.94834,0.97702,-0.87498,0.87758,1.49616,-0.47642,-0.46725,-1.25704,-0.00836,1.62651,0.2007,-0.74292,-0.77947,-0.6101,-0.44867,1.54168,1.51014,1.19605,2.50005,-1.66347,0.54197,-0.97541,-0.60912,-0.96818,0.2285,-0.44153,0.60415,-1.55168,1.40521,6.0
1.04266,1.58396,2.57764,1.5588,0.68141,-0.52169,-1.60695,-1.61534,0.36533,-0.12582,-1.1793,0.50215,-0.74612,-0.7519,-0.83182,-0.1425,-0.60964,-0.82768,1.23688,-0.6764,1.17008,-0.59947,-0.09352,-1.68258,-0.1225,-1.22154,0.15387,0.41222,-1.56038,-0.00664,0.20009,-1.40934,7.0
-0.33275,0.05056,0.16565,-0.90945,0.84927,1.1275,1.48972,-0.9086,-0.35104,-0.52792,0.225,-0.90504,-1.46851,-1.36229,-0.75382,0.7337,-1.4101,1.25411,-1.02311,-1.15063,-0.27541,0.64034,-1.47781,-1.61613,0.38705,0.00329,-1.37659,-1.1885,-1.1873,-1.22821,0.76217,-0.7057,9.0
