@relation calhousing-10
@attribute att0 real
@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute label {1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0}
@data
-1.31283,1.02443,0.82321,0.51991,-0.00925,-0.14171,0.0012,1.29461,9.0
-1.41265,1.01507,1.85614,-0.45552,0.07621,0.00576,0.03521,-1.03398,9.0
0.13961,-0.63291,0.74375,-0.11403,0.49876,0.09848,0.63155,-0.81901,6.0
-1.35276,1.04784,1.61777,-0.2795,0.02398,-0.40838,0.05613,-0.99492,5.0
-1.31283,0.99634,1.45886,-0.69662,-0.66208,-0.52936,-0.57683,-1.11625,2.0
-0.23972,0.6218,0.66429,-0.74979,-0.65733,-0.29447,-0.69715,-1.28642,1.0
-0.85863,1.01507,-1.79885,-1.15775,-1.21519,-1.19781,-1.24379,-0.07447,10.0
-0.43937,-0.31455,-1.40157,-0.61274,-0.61222,-0.23619,-0.7233,-0.69221,3.0
0.80343,-0.71718,0.50538,0.64183,0.86909,2.16566,0.90618,-0.30264,4.0
-0.72387,0.94016,1.06158,-0.54948,-0.54813,-0.3448,-0.56375,-0.93012,2.0
-1.08323,1.0853,-1.8783,1.07454,0.56048,0.85965,0.68909,0.96837,6.0
1.19774,-1.33049,1.14103,-0.62649,-0.57187,-0.42339,-0.56114,-0.90849,3.0
1.2726,-1.39135,-0.76592,-0.85476,-1.0324,-0.92672,-1.02409,1.45094,8.0
-1.15311,1.11807,1.3794,-0.24008,-0.17068,-0.15583,-0.30743,-0.68268,2.0
-0.86362,1.42706,-0.76592,0.00882,-0.23715,-0.1523,-0.11911,0.74272,4.0
-1.16309,0.79971,1.85614,-1.0977,-1.11312,-0.91877,-1.13917,-0.65884,7.0
0.61876,-0.79677,0.66429,1.04521,1.41509,1.86101,1.40052,-0.30765,4.0
-0.88858,1.43643,-1.8783,5.39886,5.79493,5.45936,6.10065,-0.15289,3.0
0.63373,-0.84827,0.50538,-0.52106,-0.46979,-0.2512,-0.4539,-0.66168,7.0
0.68365,-0.84359,0.50538,0.50478,0.17828,-0.10638,0.21829,1.7575,10.0
1.09292,-0.77336,1.85614,-0.16582,0.07858,-0.22824,0.01167,-0.96971,2.0
-1.15311,0.75289,-1.1632,2.08022,0.97829,1.19785,1.04481,2.33487,10.0
0.05975,0.73885,-0.92483,0.41356,0.44654,0.15676,0.33861,-0.48729,2.0
1.14783,-0.70782,-0.13027,0.11929,0.34683,0.07817,0.44062,-1.26784,1.0
0.60878,-0.73122,1.3794,-0.45139,-0.30362,-0.80663,-0.2682,0.0775,9.0
0.7635,-0.77804,-0.28918,0.14175,0.89283,0.78371,0.86956,-0.68536,5.0
0.5938,-0.73122,1.53831,0.07482,0.13793,-0.1682,0.16075,0.32578,10.0
0.59879,-0.82018,-0.13027,-0.43443,-0.49115,-0.5426,-0.45128,0.35005,9.0
-1.16809,0.75289,-0.36864,1.10479,1.09936,0.9038,1.22528,0.44274,8.0
0.5938,-0.77804,1.06158,-0.35605,-0.47691,-0.54084,-0.4539,1.13081,9.0
-1.22798,0.78566,-0.28918,-0.23137,-0.30362,-0.25915,-0.27343,0.77909,10.0
0.7635,-0.73591,0.18756,-0.7695,-0.57662,-0.1108,-0.55591,-0.91186,4.0
0.27437,-0.11792,1.85614,-1.16692,-1.19383,-1.22695,-1.22549,-1.61345,1.0
-1.39269,1.08061,0.98212,-0.02052,0.11182,0.18766,-0.09819,-1.07835,1.0
1.24266,-1.39603,-0.05081,-0.15574,0.15455,-0.13111,0.13198,-0.79716,3.0
-1.2729,1.0572,0.1081,0.27101,0.46315,-0.14612,0.48246,0.13387,8.0
0.80842,-0.79209,-0.05081,0.09866,-0.09946,-0.12228,-0.00926,0.6356,8.0
0.44906,-0.63291,-0.607,0.65238,0.14268,0.62477,0.35169,0.96021,7.0
1.29756,-0.88104,-0.52755,0.50616,1.0139,0.51704,0.84864,-1.35106,1.0
-0.92851,1.36152,1.14103,-0.25291,-0.287,-0.45342,-0.23419,-0.47045,2.0
-1.24794,1.06657,-0.05081,-0.41472,-0.57662,-0.54349,-0.53498,0.61502,8.0
1.26761,-1.37731,-1.48102,-0.79517,-0.88997,-0.64239,-0.86977,0.418,4.0
0.58382,-0.82018,0.58484,-0.5009,-0.7689,-0.84018,-0.81746,2.87881,10.0
1.2177,-1.37262,0.74375,-0.54582,-0.34635,-0.12316,-0.37282,-1.26721,1.0
-1.14313,0.45326,0.34647,-0.56232,-0.54813,-0.69978,-0.54806,-0.16521,6.0
