@relation census1-10
@attribute att0 real
@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute label {1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0}
@data
-0.04649,-0.13872,0.17272,-0.03128,-0.37054,0.83571,0.80096,0.52778,8.0
-0.10044,-0.04575,-0.5631,-0.66455,0.63711,-0.84514,-0.1679,1.53284,5.0
-0.11002,-0.24533,-0.56572,-1.00681,-0.41082,-0.63448,0.29446,0.52778,1.0
-0.02368,-0.16624,0.52404,0.8096,-0.39862,-1.06069,0.72403,-1.48234,9.0
-0.09286,-0.24533,0.17963,0.21688,-0.41082,-0.93427,-0.28632,1.53284,3.0
0.12265,-0.17286,-0.26834,-0.4356,-0.40127,-0.51688,0.97081,0.26841,8.0
0.10357,-0.05977,0.23056,1.10849,0.21632,0.69386,-0.65305,0.30501,7.0
0.10297,0.40968,0.95904,-0.2192,-0.29908,1.32567,0.99477,-0.4637,10.0
-0.11346,-0.24533,0.4212,-0.02114,-0.41082,-1.23406,-0.07585,-1.48234,3.0
-0.11503,-0.24533,-0.4426,-0.21957,-0.41082,-0.20621,0.00627,1.53284,1.0
-0.1111,-0.24533,0.16316,-0.86962,-0.41082,-1.14705,0.70388,0.35299,10.0
-0.06561,0.70003,1.45277,2.17673,-0.38329,3.92456,2.46406,-0.76822,10.0
-0.11643,-0.24533,-0.65596,1.03502,-0.41082,-1.23406,-3.46912,-1.48234,1.0
0.24197,-0.11488,-1.3358,-1.39694,-0.38531,-0.00786,0.83722,-0.37382,7.0
-0.11631,-0.24533,-1.52698,-0.79152,-0.41082,0.20493,-0.34173,-1.48234,1.0
-0.0907,-0.01309,1.01124,1.26078,-0.26203,-0.83434,0.86139,1.53284,9.0
0.00622,-0.0572,0.46178,-1.29223,-0.309,0.91917,-1.15577,0.06202,8.0
-0.10745,-0.24533,0.03103,-0.02756,-0.41082,-1.23406,0.07062,-1.48234,6.0
-0.10056,-0.18444,-0.88261,0.13988,2.28603,-1.23406,0.07516,-1.48234,4.0
-0.06316,0.01621,2.79738,-0.34494,-0.36348,0.46796,2.04285,-0.1118,9.0
-0.11362,-0.24533,0.54211,0.64341,-0.26918,0.82163,-0.22128,1.53284,6.0
-0.10729,-0.24533,0.11163,-0.19812,-0.35559,-0.81083,-0.57711,1.53284,4.0
-0.10392,-0.21651,0.24473,-0.45547,-0.38996,-0.87431,-0.34691,1.53284,2.0
-0.08056,-0.17151,0.13972,-0.4472,0.1067,-0.73041,0.47203,0.24062,5.0
-0.11326,-0.24533,-0.3271,-0.80991,-0.41082,2.25439,-1.00567,0.96749,2.0
-0.08921,-0.22366,0.1741,1.00951,-0.3403,-0.7544,2.06758,-1.48234,8.0
0.40891,0.10746,0.64316,-1.32102,-0.38033,0.37609,0.88751,0.45987,9.0
-0.11675,-0.24533,1.75925,2.25651,-0.41082,-1.23406,1.27776,-1.48234,9.0
-0.10661,-0.21244,-0.21724,0.05597,-0.41082,-0.0349,0.06744,0.02525,5.0
-0.0113,-0.11854,-0.38274,-1.12958,-0.40273,-0.20621,-0.24277,0.1623,8.0
-0.09583,-0.1525,1.65233,1.50778,-0.39769,1.88374,1.49447,0.14122,9.0
0.24939,-0.1694,-0.46126,-0.41209,1.86739,-0.08132,-0.3554,0.71976,5.0
-0.04529,-0.10845,1.0086,0.93064,-0.34349,1.02234,-0.31322,-0.79966,8.0
-0.11519,-0.07808,-1.13581,-0.81327,-0.41082,-0.33469,-0.4028,1.53284,1.0
-0.10573,-0.21358,0.39779,0.4458,-0.33881,0.49272,-0.74208,0.52778,2.0
-0.10845,-0.24533,-1.08219,-1.03185,-0.41082,-0.27474,0.15678,1.53284,4.0
-0.10104,-0.14627,0.61914,-0.69569,-0.30741,-0.00064,0.1073,1.03031,5.0
-0.06088,-0.24533,-0.28265,-0.37813,-0.40577,-0.14879,-0.5499,0.8628,4.0
-0.11627,-0.24533,-1.53672,-0.02114,-0.41082,-1.23406,-0.39469,-1.48234,3.0
-0.08637,-0.10731,0.78719,1.05206,-0.3925,2.07171,0.11954,-0.2408,7.0
-0.08,-0.22482,-0.23275,-0.66029,-0.16733,-0.30368,-0.58133,0.9298,4.0
-0.10685,-0.14101,-0.5481,-0.22729,-0.30485,2.87732,-0.84398,0.77905,3.0
-0.11414,-0.24533,-0.30952,-0.91408,-0.41082,-0.57997,0.34855,1.53284,3.0
-0.0131,-0.10332,0.90588,1.70251,-0.40808,0.74454,1.09183,-0.38591,8.0
-0.10681,-0.21473,0.13669,0.84269,-0.38442,-0.09802,0.86726,0.52778,4.0
-0.09987,-0.20825,-0.53088,0.5946,-0.41082,-0.3876,0.12711,0.02525,6.0
-0.10216,-0.24533,-0.33055,0.29189,-0.39233,0.14958,0.14362,0.32677,4.0
-0.11599,-0.24533,-0.09547,-1.38536,-0.41082,2.3634,-0.32725,0.02525,2.0
-0.11398,-0.04659,-0.25528,1.26003,-0.41082,2.3634,-0.88869,0.9298,4.0
-0.11406,-0.15292,-0.02537,0.0698,1.09915,-1.23406,-0.39348,-1.48234,1.0
-0.09859,-0.19036,1.09611,1.71221,-0.08024,0.07411,-0.75687,-1.48234,6.0
-0.10484,-0.21226,2.15773,1.53406,-0.38847,-1.12131,1.73806,-0.25393,10.0
-0.11326,-0.24533,-1.17764,0.12768,-0.41082,-0.7544,-1.71793,1.53284,1.0
0.13836,-0.17366,-0.01496,-0.58776,2.56864,0.72197,-0.95098,0.56292,6.0
-0.11394,-0.24533,-0.42274,-0.44361,-0.41082,0.56467,0.31976,1.53284,1.0
-0.07234,-0.19925,0.70975,1.15563,-0.2211,0.12714,-0.01708,-0.19012,7.0
-0.04212,-0.16319,-1.71304,-0.54049,-0.25904,-0.41316,0.04871,-0.06343,5.0
-0.11559,-0.24533,-1.88368,1.26962,-0.41082,-0.95733,0.48748,1.53284,4.0
-0.11555,-0.24533,0.58605,1.09082,-0.41082,2.03636,-0.41867,0.9298,2.0
-0.11242,0.04788,-0.70711,0.1913,-0.41082,-0.0349,-0.75681,0.02525,3.0
-0.10853,-0.06036,0.10994,0.89073,0.18522,0.01723,0.24541,-1.48234,6.0
-0.0313,-0.04295,1.25487,0.33362,-0.37431,1.1229,1.85066,-1.16495,10.0
-0.04304,0.66753,0.37822,-1.06738,-0.16113,-0.83026,0.35698,0.71052,9.0
0.15175,2.42744,0.60752,-1.06007,0.50426,-0.42755,-1.26134,-0.0541,10.0
-0.09679,-0.21298,0.72775,0.08569,-0.41082,0.75075,0.2134,0.40215,6.0
-0.07675,-0.20231,0.87737,0.30114,0.38079,-0.00335,-0.87466,-0.55459,6.0
-0.09935,-0.16462,0.46903,0.59499,-0.41082,-0.52867,-0.76453,0.32677,5.0
-0.02589,0.22983,0.97092,-0.23489,-0.40145,0.18716,0.41959,0.02525,10.0
-0.10697,-0.24533,2.34002,-1.08186,-0.38403,-0.89885,-1.97191,0.67136,5.0
-0.07018,-0.22899,-0.06596,-0.56683,-0.41082,-0.62172,0.80468,-0.72854,8.0
-0.06268,-0.20631,-0.23706,0.93938,2.03417,0.44862,-0.8438,0.18121,6.0
-0.05999,-0.02391,-1.34275,-1.1986,-0.40585,-0.77512,-1.16002,-0.5097,8.0
-0.11274,-0.17899,-1.49445,0.64433,-0.41082,0.28066,-0.65591,1.53284,2.0
-0.11426,-0.00049,0.35027,-0.11744,0.68309,-0.66303,-1.50522,0.32677,3.0
-0.11507,0.03408,-0.41763,-0.4493,-0.41082,-0.20621,0.17546,1.53284,2.0
0.2188,-0.11069,-0.00613,0.17347,0.95578,0.15219,-0.09936,-0.48274,7.0
0.07564,0.1772,1.53923,-1.37308,-0.21506,-0.43181,0.3589,0.26687,10.0
0.27921,0.77921,1.51794,-0.53597,-0.33642,-0.35424,-0.26166,-0.10876,9.0
-0.10733,-0.24533,-0.24047,0.67683,-0.41082,0.6646,-0.6641,1.05676,1.0
-0.11603,-0.24533,-0.38259,2.13498,-0.41082,-0.33469,0.61484,-1.48234,5.0
-0.10917,-0.20069,0.20253,0.00974,-0.41082,-0.00064,-0.36893,1.53284,2.0
-0.11018,-0.24533,-0.85662,0.0664,4.75275,-0.7011,-0.81837,0.02525,2.0
-0.11691,-0.24533,-3.38864,0.23734,-0.41082,-0.43462,2.59204,1.53284,3.0
-0.09927,-0.24533,-0.21423,0.18215,-0.41082,-0.66303,-0.31441,0.32677,3.0
0.47223,1.1748,-0.09071,-0.7498,-0.40547,-0.23876,0.47184,-0.13822,7.0
0.5243,0.04337,-0.11,-0.09177,-0.37063,0.55598,1.28593,-0.32603,7.0
-0.10008,-0.22365,0.75677,-0.21878,-0.41082,-0.37752,-0.58944,0.9298,7.0
