@relation census2-10
@attribute att0 real
@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute att8 real
@attribute att9 real
@attribute att10 real
@attribute att11 real
@attribute att12 real
@attribute att13 real
@attribute att14 real
@attribute att15 real
@attribute label {1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0}
@data
-0.09664,0.24013,-0.41935,-0.01299,-0.0348,0.30438,-0.35527,0.2989,0.65314,0.22085,-0.78915,-0.39844,0.24316,-0.17797,-0.52335,0.52778,8.0
0.05365,-0.48039,-0.40642,2.04442,1.07427,-0.91622,-0.35527,-1.25372,-0.56267,0.68742,0.65507,-0.40181,0.16239,1.01893,-0.97852,-0.49164,9.0
-0.10508,0.64378,-0.42394,0.21887,0.29608,0.05812,-0.35527,-0.45923,-0.1514,-0.077,1.03142,-0.41082,0.30152,0.70902,-0.34894,1.39579,1.0
-0.11751,0.09402,-0.42394,0.52177,-1.64001,1.13399,-0.35527,1.34307,-0.7037,-1.12498,0.30522,-0.41082,0.32971,-0.94346,0.6583,-1.48234,1.0
-0.10653,-1.56645,4.57697,0.06842,0.48834,0.2832,-0.35527,-0.03773,1.94581,-0.09663,-0.14846,4.34946,0.26211,0.02892,0.50826,1.53284,4.0
-0.10036,-0.12548,-0.40182,-0.05553,-0.02713,-0.36338,0.64352,-0.21268,-0.7037,-0.67702,-0.53101,-0.41082,0.28554,-0.39093,-0.13478,-0.47728,5.0
-0.10901,5.55076,-0.21292,-1.83911,-1.89673,-3.27622,5.94059,0.96109,-0.7037,-0.62392,1.27716,-0.35784,0.18149,0.39216,1.0284,1.53284,7.0
-0.09826,-0.1256,-0.36939,0.21423,0.23508,-0.49964,0.70909,0.03155,0.97926,0.54431,-0.73006,-0.34942,0.28677,-0.65039,-0.68753,1.53284,7.0
-0.07427,-0.66032,-0.42394,0.34978,0.36005,-0.04203,0.03128,-0.28993,-0.18999,-0.50468,-0.59576,-0.41082,0.2598,-0.33279,-0.61393,0.14122,6.0
0.64087,-0.5283,0.19781,0.64349,0.54893,0.0865,0.15813,0.2191,-0.5791,-0.20431,-0.82274,0.16685,-0.00834,-0.80701,-0.66665,0.23759,10.0
-0.08218,-0.80034,0.67163,-0.16887,0.68989,0.26104,-0.35527,-0.19954,-0.28475,-0.4023,-0.44809,0.49089,0.31902,0.98841,0.48187,0.62829,2.0
-0.11047,-0.50607,-0.38658,0.22906,0.27848,0.57317,-0.35527,0.4021,-0.7037,-0.46505,-0.43993,-0.37593,0.2809,-0.87896,-0.20527,0.77905,2.0
-0.11094,0.08573,3.50404,-0.2509,0.38586,0.6685,-0.35527,0.23373,-0.7037,-0.31489,-0.03375,3.2725,0.32971,0.27801,0.95049,0.32677,5.0
0.16508,-0.26321,-0.30194,0.81347,-0.27208,-0.49759,-0.35527,-0.54596,0.22484,1.55279,1.44711,-0.30833,-0.2498,1.5874,-0.22639,-0.00267,8.0
-0.00074,-0.42297,-0.23695,-0.5155,-0.23957,-0.47577,0.01569,-0.79174,-0.39503,0.47237,-0.69146,-0.18786,0.2289,0.56967,-1.02859,-0.72854,9.0
-0.08039,-0.48701,-0.40549,0.61384,0.89704,-0.745,-0.07925,-1.44023,0.19651,-0.19327,-0.02974,-0.39768,0.32971,0.07285,-0.69399,0.62829,5.0
-0.11549,0.16517,-0.42394,0.18896,-0.26006,-0.00415,-0.35527,-0.47479,1.65852,-0.71749,-0.2135,-0.41082,0.20917,-0.30789,-0.18284,-1.48234,1.0
-0.11384,-0.45661,-0.42394,-0.91445,-1.07489,0.98114,-0.35527,1.36162,3.10337,-0.1399,-0.28482,-0.41082,0.23257,-0.67693,-0.0819,1.53284,6.0
-0.08054,-1.69438,3.32452,0.52016,1.11046,-0.45376,-0.18207,-1.10543,0.20569,-0.43475,-0.18376,3.41756,0.25546,1.36721,-0.23155,1.53284,2.0
0.08881,-0.65157,-0.42055,0.34784,0.58544,-0.76925,0.13479,-1.09632,-0.05335,0.36887,-0.52182,-0.40832,0.28779,0.23119,-0.62005,0.06202,5.0
