@relation computer1-10
@attribute att0 real
@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute att8 real
@attribute att9 real
@attribute att10 real
@attribute att11 real
@attribute label {1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0}
@data
-0.29163,-0.405,1.12675,0.79164,0.57292,-0.59873,-0.4589,-0.60352,0.09066,-0.14817,-0.56301,-0.56245,4.0
0.08322,-0.20428,-0.47644,0.26395,0.04326,-0.11476,-0.0752,-0.25321,-0.28436,-0.14658,-0.63231,-0.81373,3.0
0.00825,-0.00355,1.76766,1.49522,1.49516,2.22442,0.50034,1.35362,1.74854,-0.14578,-0.25037,-0.74274,1.0
-0.31038,-0.405,-0.28974,2.25409,1.04027,-0.67939,-0.49727,2.25049,2.98713,1.11633,-0.67461,-3.14705,1.0
-0.32912,-0.43846,-1.14918,-0.66077,-0.64842,-0.59873,-0.42053,-0.08996,-0.60966,-0.13862,1.81924,0.90601,10.0
-0.27289,-0.30464,-0.23464,0.34938,0.46076,-0.43741,-0.30542,-0.77138,-0.5309,-0.14817,-0.28381,-0.85038,6.0
-0.01049,-0.23773,-0.19669,-0.10292,-0.24962,-0.35675,-0.34379,0.26041,-0.19259,-0.14419,-0.59484,-0.8085,6.0
0.04574,0.0299,-0.78985,-0.56528,-0.49264,-0.35675,-0.26705,-0.7072,-0.38459,-0.14021,0.35476,0.94729,8.0
0.28939,0.13026,2.4655,0.77656,0.59785,1.49847,1.42121,1.04584,-0.07186,-0.09886,-0.41757,-0.08881,1.0
-0.32912,-0.43846,-0.85107,-0.42959,-0.42409,0.04656,-0.34379,0.62157,1.11255,-0.13385,-0.28261,1.01498,7.0
-0.21666,-0.33809,-0.70232,-0.314,-0.19977,-0.43741,-0.34379,-0.35591,-0.45855,-0.14419,-0.64722,-0.85766,8.0
-0.34786,-0.43846,-0.83576,-0.61554,-0.49264,-0.43741,-0.34379,-0.06872,0.00487,-0.14817,-0.65688,-0.79945,6.0
-0.25415,-0.43846,-0.03692,-0.706,-0.53626,-0.19542,0.96078,-0.56013,-0.65936,-0.11954,-0.33901,0.71991,9.0
0.21442,-0.03701,1.40772,1.058,0.77232,1.17179,0.46005,2.07329,0.14923,-0.10045,0.34831,0.01556,2.0
-0.2354,-0.27119,1.18368,-0.12805,0.12426,-0.51807,-0.34379,-0.76645,-0.39316,-0.14817,-0.2536,-0.64962,6.0
-0.16043,-0.405,0.30343,1.11328,1.37676,2.46641,-0.03683,0.07744,-0.56405,-0.14658,-0.08519,1.06617,2.0
0.79545,2.37169,-0.77883,-0.70097,-0.59857,-0.67939,-0.49727,-0.4378,-0.11861,-0.13385,-0.18551,1.22382,9.0
-0.3666,-0.43846,-1.33343,-1.01759,-0.86652,-0.67939,-0.49727,-0.82087,-0.61749,-0.14817,-0.46632,0.95114,10.0
-0.34786,-0.43846,-1.2257,-0.89195,-0.81667,-0.43741,0.07827,-0.55066,-0.63408,-0.14021,-0.46632,1.0253,9.0
0.96414,2.47205,1.64891,1.30425,0.36106,-0.19542,-0.26705,0.40256,-0.06991,-0.14817,-0.66011,-0.81459,3.0
-0.3666,-0.43846,-1.25202,-0.8819,-0.78551,-0.67939,-0.49727,-0.70502,-0.61204,-0.14817,2.18828,1.22964,10.0
