@relation computer2-10
@attribute att0 real
@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute att8 real
@attribute att9 real
@attribute att10 real
@attribute att11 real
@attribute att12 real
@attribute att13 real
@attribute att14 real
@attribute att15 real
@attribute att16 real
@attribute att17 real
@attribute att18 real
@attribute att19 real
@attribute att20 real
@attribute label {1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0}
@data
-0.2354,-0.43846,0.11366,-0.24364,-0.22469,-0.0341,0.15501,-0.42697,-0.47305,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.5822,-0.54703,0.04375,-0.15453,-0.13862,-0.36842,-0.62288,7.0
-0.3666,-0.43846,-1.28936,-0.89697,-0.74189,-0.67939,-0.49727,-0.81975,-0.57165,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.55337,-0.5201,-0.8235,-0.87929,-0.14817,-0.46672,0.94576,9.0
0.23317,0.73244,0.39892,0.41974,0.49814,1.17582,-0.26705,0.09423,-0.48817,0.0593,0.04093,-0.04078,-0.1564,-0.09241,-0.51012,-0.47522,1.0733,0.81196,-0.13067,-0.64681,1.00474,2.0
-0.3666,-0.43846,-1.25324,-0.97236,-0.7232,-0.59873,-0.4589,-0.74807,-0.58279,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.59661,-0.55601,-0.60474,-0.70322,-0.14817,2.18546,1.29375,10.0
0.06448,-0.43846,1.54545,2.63102,2.94083,3.51501,0.11664,2.68102,3.2232,0.81301,0.21182,-0.08404,-0.30259,0.57328,0.45564,0.57498,3.5991,3.26849,2.50807,-0.68468,-3.14699,1.0
16.72684,-0.00355,0.70438,-0.03257,0.15542,-0.43741,-0.19031,-0.2015,0.54298,0.62458,1.13199,0.56484,0.00103,-0.05737,1.53673,0.9071,-0.57677,-0.51474,-0.14817,-0.65568,-0.62979,2.0
-0.29163,-0.37155,-1.17366,-0.86682,-0.84159,0.04656,-0.15194,-0.48512,-0.55701,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.43805,-0.38591,0.63142,-0.10181,-0.14658,3.93962,1.30565,6.0
-0.32912,-0.405,-1.31262,-0.99246,-0.85406,-0.67939,-0.49727,-0.77682,-0.58362,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.59661,-0.55601,-0.82175,-0.88139,-0.14817,2.63025,1.26012,10.0
0.23317,-0.30464,0.57338,-0.14313,-0.06268,1.33715,0.53871,0.5867,-0.00758,-0.27988,-0.32714,-0.33741,-0.30259,0.04774,-0.26508,-0.24184,1.23062,1.22976,-0.11158,-0.18672,0.49093,3.0
0.08322,0.59862,-1.11245,-0.75123,-0.1063,-0.67939,-0.49727,-0.66381,-0.44448,-0.43062,-0.39286,-0.36831,-0.30259,-0.16248,-0.53895,-0.5201,-0.80925,-0.84144,-0.13862,-0.2677,0.92369,9.0
-0.01049,-0.00355,2.61364,3.85727,0.47945,1.57913,2.76415,8.42385,-0.28086,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,0.29708,0.1172,1.00513,1.324,-0.13862,-0.50016,-0.54646,1.0
-0.3666,-0.43846,-1.13326,-0.73113,-0.73566,-0.67939,-0.49727,-0.75218,-0.62573,-0.09145,-0.27455,-0.31269,-0.30259,-0.16248,-0.5822,-0.53806,-0.82699,-0.88244,-0.14817,-0.62264,1.01418,10.0
0.66425,2.0706,0.76988,1.32938,1.76311,0.20788,-0.38216,2.68034,5.33655,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,0.60195,0.19933,0.20518,0.80295,-0.14021,-0.01509,-0.78589,1.0
-0.27289,-0.405,-0.39625,0.44487,0.64147,0.69185,-0.26705,0.21313,0.21436,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.53895,-0.50215,0.65204,0.3774,-0.13544,1.98563,1.21283,4.0
-0.27289,-0.37155,1.22837,0.77153,0.42337,-0.51807,-0.42053,-0.00622,-0.03711,1.3783,0.36956,0.11372,-0.19576,-0.09241,-0.35157,-0.38546,-0.47015,-0.3671,-0.14339,-0.64198,-0.62069,4.0
-0.01049,-0.20428,0.89108,0.02774,-0.11876,0.44987,1.03752,0.44082,-0.15916,-0.31756,-0.34028,-0.34977,-0.30259,-0.19752,-0.27949,-0.3316,1.4159,0.91248,-0.1259,-0.5328,0.472,2.0
0.62677,2.17096,-0.69987,-0.60549,0.34236,-0.19542,0.92241,-0.78617,2.99465,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,0.70069,0.33263,-0.32507,0.08421,-0.14021,-0.07794,-0.6773,5.0
0.58928,1.06698,1.79827,1.34446,1.74441,2.14376,0.23175,0.0261,-0.02519,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.5822,-0.54703,2.14655,1.80881,-0.12749,0.32535,0.74865,2.0
-0.14169,-0.33809,-0.13364,-0.24364,-0.33686,1.25648,0.07827,-0.70401,1.11694,1.60441,0.86908,0.22495,-0.30259,-0.16248,1.57997,2.1099,0.67127,0.79625,-0.13067,-0.57147,0.49953,3.0
-0.27289,-0.405,-0.38829,0.1182,-0.22469,-0.27609,-0.34379,-0.11288,-0.01839,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,0.0088,0.03642,-0.44568,-0.44982,-0.14817,0.13075,-0.54372,5.0
-0.21666,-0.405,-0.30565,-0.44969,-0.46148,-0.35675,-0.30542,-0.70908,-0.50979,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,0.25384,0.47625,0.07871,0.29468,-0.1418,-0.51023,-0.85962,4.0
0.30814,1.33461,-0.35279,-0.26374,0.00587,-0.27609,0.23367,-0.69034,-0.49398,-0.27988,-0.34028,-0.34359,-0.30259,-0.16248,0.50105,0.22626,-0.41491,-0.28197,-0.14658,-0.58034,-0.55567,6.0
-0.3666,-0.43846,0.54522,-0.51503,-0.48641,-0.67939,-0.49727,-0.79504,-0.53447,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.59661,-0.55601,-0.82673,-0.88228,-0.1418,-0.14683,1.00904,5.0
-0.06672,-0.00355,-0.69987,-0.63062,-0.29324,-0.51807,-0.4589,0.0391,0.41817,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.46688,-0.43932,-0.11182,-0.71788,-0.13544,-0.5191,0.43826,7.0
-0.3666,-0.43846,-0.39747,-0.84169,-0.75436,-0.67939,-0.49727,-0.78408,-0.5956,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.55337,-0.51113,-0.82848,-0.876,-0.14021,-0.28744,1.0303,7.0
