@relation abalone
@attribute att0 real
@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute att8 real
@attribute att9 real
@attribute label {1.0,2.0,3.0,4.0,5.0}
@data
-0.7594,1.48167,-0.68794,1.09089,0.92824,1.9242,1.0813,1.27333,1.32197,1.19372,5.0
-0.7594,-0.67475,1.45328,0.79945,0.77709,0.96788,0.71323,0.48716,0.77459,1.08596,5.0
1.31652,-0.67475,-0.68794,0.92435,0.82748,0.84834,1.11393,1.18773,0.82021,1.12188,4.0
-0.7594,-0.67475,1.45328,-1.53208,-1.43976,-1.662,-1.31272,-1.33746,-1.28718,-1.21284,1.0
-0.7594,-0.67475,1.45328,0.00839,-0.07942,0.01156,-0.46441,-0.43641,-0.47524,-0.39748,2.0
1.31652,-0.67475,-0.68794,1.63214,1.73437,1.20696,2.56889,2.86594,2.71321,2.09528,5.0
1.31652,-0.67475,-0.68794,0.29983,0.4748,0.60926,0.06374,0.18982,-0.10121,0.04432,4.0
1.31652,-0.67475,-0.68794,-0.19978,0.02135,0.25064,-0.34002,-0.35081,-0.3977,-0.13528,4.0
-0.7594,1.48167,-0.68794,-0.28305,-0.28095,0.1311,-0.31861,-0.49723,0.00371,-0.20711,3.0
-0.7594,1.48167,-0.68794,1.21579,0.97863,0.84834,0.3788,0.35201,0.82477,0.97462,3.0
1.31652,-0.67475,-0.68794,1.04925,1.12978,0.7288,1.09456,1.15394,0.98442,0.87045,4.0
1.31652,-0.67475,-0.68794,-0.28305,-0.1298,0.01156,-0.57045,-0.62113,-0.48437,-0.63814,4.0
-0.7594,-0.67475,1.45328,-1.69862,-1.54052,-0.94476,-1.33209,-1.29016,-1.26894,-1.24876,1.0
-0.7594,-0.67475,1.45328,0.29983,0.32365,0.01156,-0.00763,0.19207,-0.37945,0.04432,3.0
-0.7594,-0.67475,1.45328,-0.99083,-1.03669,-0.94476,-1.13735,-1.18429,-1.09104,-1.06198,1.0
-0.7594,1.48167,-0.68794,0.75781,0.67633,0.37018,0.58374,0.5615,0.28196,0.83453,3.0
-0.7594,1.48167,-0.68794,1.25743,1.28092,1.08742,1.48608,1.55041,2.01987,1.1578,4.0
-0.7594,1.48167,-0.68794,0.79945,1.33131,0.60926,0.63268,0.63133,0.57389,0.8489,4.0
-0.7594,-0.67475,1.45328,0.05003,-0.1298,-0.58614,-0.72135,-0.70673,-0.72612,-0.65251,2.0
-0.7594,-0.67475,1.45328,-0.24141,-0.33133,-0.4666,-0.4379,-0.33279,-0.40226,-0.55912,2.0
-0.7594,-0.67475,1.45328,-1.36554,-1.38937,-1.18384,-1.24338,-1.18203,-1.27806,-1.24876,1.0
-0.7594,1.48167,-0.68794,-0.03324,0.02135,-0.58614,-0.04434,-0.33279,-0.01454,-0.02752,4.0
-0.7594,-0.67475,1.45328,0.1333,0.07173,-0.70568,-0.42771,-0.37784,-0.2791,-0.44777,4.0
-0.7594,-0.67475,1.45328,-1.15737,-1.18784,-1.18384,-1.2077,-1.16852,-1.18683,-1.16974,2.0
-0.7594,1.48167,-0.68794,1.09089,0.92824,0.96788,1.19652,0.66963,1.21705,1.48107,5.0
-0.7594,-0.67475,1.45328,0.09166,0.4748,0.01156,0.35229,0.76874,-0.03735,0.03713,3.0
1.31652,-0.67475,-0.68794,0.92435,1.02901,0.7288,1.07416,1.16971,1.13495,1.08596,2.0
1.31652,-0.67475,-0.68794,1.04925,1.18016,1.20696,1.36781,1.2035,2.00618,1.12188,5.0
-0.7594,1.48167,-0.68794,0.29983,0.27326,-0.34706,0.09943,-0.11203,0.30932,0.36759,5.0
-0.7594,-0.67475,1.45328,0.2582,0.22288,0.37018,-0.18198,-0.20664,-0.3384,0.29575,3.0
-0.7594,1.48167,-0.68794,1.09089,1.38169,0.60926,1.61863,1.33415,1.08021,1.96957,5.0
-0.7594,-0.67475,1.45328,-0.53285,-0.68401,-1.18384,-0.90692,-0.81035,-1.02718,-0.92549,2.0
-0.7594,1.48167,-0.68794,-0.11651,-0.1298,-0.4666,-0.43076,-0.43867,-0.53454,-0.32924,5.0
-0.7594,1.48167,-0.68794,0.75781,0.67633,0.7288,0.46138,0.82731,0.5967,-0.03111,3.0
1.31652,-0.67475,-0.68794,0.29983,0.37403,0.48972,0.13817,0.27317,0.33669,-0.1245,2.0
-0.7594,1.48167,-0.68794,1.67377,1.9359,1.44604,1.85212,1.52112,1.62302,2.55864,4.0
1.31652,-0.67475,-0.68794,0.71618,0.82748,0.25064,0.55927,0.29569,0.19985,0.87045,5.0
1.31652,-0.67475,-0.68794,1.4656,1.68399,1.20696,2.94513,3.31421,2.16584,2.86754,4.0
-0.7594,1.48167,-0.68794,0.63291,0.67633,0.96788,0.67958,0.68314,0.79284,0.5831,5.0
1.31652,-0.67475,-0.68794,0.63291,0.57556,0.60926,0.42672,0.62232,0.36406,0.08742,3.0
-0.7594,1.48167,-0.68794,0.59127,0.57556,0.37018,0.40225,0.47365,-0.62577,0.47534,4.0
-0.7594,-0.67475,1.45328,-0.9492,-0.73439,-0.70568,-1.01703,-0.91172,-1.00437,-0.49447,1.0
-0.7594,-0.67475,1.45328,-0.69939,-0.68401,-0.94476,-0.86002,-0.67744,-0.977,-0.97578,1.0
-0.7594,1.48167,-0.68794,0.75781,0.4748,-0.10798,0.46954,0.5142,0.75179,0.25265,3.0
-0.7594,1.48167,-0.68794,0.46637,0.37403,0.1311,0.12084,0.22811,0.00827,0.02636,2.0
1.31652,-0.67475,-0.68794,-0.32468,-0.18018,-0.4666,-0.46849,-0.48822,-0.42051,-0.50165,2.0
-0.7594,-0.67475,1.45328,-0.99083,-1.08708,-1.18384,-1.14142,-1.155,-1.0363,-0.92549,1.0
-0.7594,-0.67475,1.45328,-2.2815,-2.1955,-1.90108,-1.53397,-1.45685,-1.54262,-1.5397,1.0
-0.7594,-0.67475,1.45328,0.88272,0.57556,0.25064,0.41346,0.30245,0.54196,0.61902,4.0
-0.7594,1.48167,-0.68794,-0.07488,-0.1298,0.60926,-0.14732,-0.76079,-0.09664,0.58669,3.0
-0.7594,1.48167,-0.68794,1.63214,1.68399,1.80466,2.59235,2.23971,2.75426,2.60892,5.0
-0.7594,-0.67475,1.45328,-0.07488,-0.28095,-0.4666,-0.41547,-0.14808,-0.46612,-0.5663,1.0
-0.7594,-0.67475,1.45328,-1.03247,-1.18784,-0.70568,-1.01907,-0.77205,-1.23245,-1.12304,1.0
-0.7594,1.48167,-0.68794,-0.07488,-0.18018,-0.22752,-0.51641,-0.72925,-0.46156,-0.3903,2.0
-0.7594,-0.67475,1.45328,-0.57449,-0.73439,-0.82522,-0.82943,-0.58734,-0.85841,-0.99733,1.0
-0.7594,-0.67475,1.45328,-1.28227,-1.18784,-0.94476,-1.18017,-1.15725,-1.18683,-1.10509,3.0
1.31652,-0.67475,-0.68794,1.13252,1.23054,0.7288,1.14554,1.04131,0.28652,1.53854,5.0
1.31652,-0.67475,-0.68794,0.50801,1.02901,0.48972,0.79377,1.25982,0.55108,0.43943,4.0
-0.7594,1.48167,-0.68794,-0.69939,-0.58325,-0.34706,-0.86715,-0.83062,-1.07279,-0.789,2.0
-0.7594,1.48167,-0.68794,1.63214,1.58322,0.96788,1.81541,2.19466,2.06548,1.068,4.0
1.31652,-0.67475,-0.68794,-0.44959,-0.48248,-0.10798,-0.66833,-0.86892,-0.5984,-0.53038,3.0
-0.7594,-0.67475,1.45328,-0.90756,-0.83516,-0.58614,-1.02009,-0.98605,-1.18227,-0.95423,5.0
-0.7594,1.48167,-0.68794,0.88272,0.92824,0.84834,0.57456,0.48491,0.7974,0.64775,3.0
-0.7594,-0.67475,1.45328,-0.40795,-0.48248,-0.70568,-0.68668,-0.66843,-0.64402,-0.63814,2.0
-0.7594,-0.67475,1.45328,0.46637,0.52518,0.01156,0.00155,0.14477,-0.14226,-0.00597,4.0
-0.7594,-0.67475,1.45328,1.09089,1.07939,0.1311,0.85903,0.75297,0.93424,0.54718,5.0
