@relation bank1-5
@attribute att0 real
@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute label {1.0,2.0,3.0,4.0,5.0}
@data
1.64844,0.43255,-1.69065,-0.37785,-0.46773,0.46788,0.21193,0.43676,4.0
-1.34054,0.8221,-1.03054,0.22267,-0.3532,-0.37012,0.14968,1.32459,2.0
0.69169,1.2791,1.30877,0.72715,-0.08615,-0.57034,0.31172,-1.3389,2.0
-0.48507,1.00535,-0.7299,1.08483,0.17567,-0.58987,-1.90755,-0.45107,4.0
0.16909,-0.74661,-1.29411,1.10073,-0.09304,-0.85852,1.28249,0.43676,2.0
-1.00853,1.20276,-1.23199,1.56952,-0.92723,1.74549,1.65628,-0.45107,5.0
-0.04681,0.43988,-0.0234,-0.22551,-0.77876,0.69406,0.95881,0.43676,4.0
-1.30944,0.27836,0.69695,1.38653,-0.31198,-0.65635,-0.06924,-0.45107,1.0
-0.91573,1.03071,-1.14239,0.19739,0.41497,-0.56382,1.29076,-0.45107,3.0
1.38564,-0.60594,1.6737,-0.16185,-0.14222,-0.19047,0.87815,-1.3389,3.0
0.07347,-1.34798,1.69112,-1.55578,-0.10059,-0.8572,1.45236,1.32459,1.0
-0.76467,-0.1531,0.51951,-1.20648,-0.26972,-0.56155,-1.90914,0.43676,2.0
0.29577,1.05501,-0.02949,1.26424,2.35011,-0.33524,-1.31097,-1.3389,5.0
-0.79249,0.75399,-1.59713,1.13555,-0.92142,-0.60071,0.03301,0.43676,1.0
-1.44496,-0.22172,-1.02162,1.15784,-0.53216,-0.29092,-2.26791,-0.45107,4.0
1.01046,-0.12552,-1.40172,-1.18199,-0.78507,-0.2865,-1.73437,1.32459,3.0
1.37384,-1.03317,1.50281,-0.02018,0.25789,-0.24475,0.27664,0.43676,3.0
-1.31576,-1.19475,-0.79161,0.34126,1.18349,-0.9568,-1.20754,1.32459,3.0
-0.52497,0.74063,-0.21467,0.29583,2.50344,-0.54612,-0.52954,1.32459,5.0
-1.25925,0.81264,0.03625,0.00997,-0.93988,-0.99002,1.44448,1.32459,1.0
-1.67885,-0.88575,0.54497,0.4018,-0.22879,0.99251,0.56128,1.32459,5.0
-0.58071,0.75546,0.08348,0.8825,0.21576,-0.05252,-0.20393,0.43676,4.0
0.76861,-0.77751,0.76387,-0.57235,-0.49553,1.69227,-0.02188,-1.3389,5.0
1.25306,-0.40397,0.64881,1.54624,-0.85943,-0.24692,1.1202,-1.3389,2.0
-0.10434,-0.19474,0.38374,-0.27907,-0.73772,-0.91602,1.47571,0.43676,1.0
