@relation bank2-5
@attribute att0 real
@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute att8 real
@attribute att9 real
@attribute att10 real
@attribute att11 real
@attribute att12 real
@attribute att13 real
@attribute att14 real
@attribute att15 real
@attribute att16 real
@attribute att17 real
@attribute att18 real
@attribute att19 real
@attribute att20 real
@attribute att21 real
@attribute att22 real
@attribute att23 real
@attribute att24 real
@attribute att25 real
@attribute att26 real
@attribute att27 real
@attribute att28 real
@attribute att29 real
@attribute att30 real
@attribute att31 real
@attribute label {1.0,2.0,3.0,4.0,5.0}
@data
0.36937,0.74731,-0.13933,-0.74537,-0.9584,0.2618,1.68285,-0.94687,3.12849,-0.56828,0.57025,0.44015,-0.24852,0.90349,-0.89301,2.20081,1.55922,-0.64353,0.02285,-1.29765,-0.85446,1.26024,-0.4829,1.6721,-1.29309,-1.22154,-0.79663,-0.84972,0.61716,-1.22821,1.26704,-0.00206,3.0
1.04258,-0.2141,0.58653,-0.2455,-0.84977,-0.87924,1.53246,-0.49954,-0.39454,-0.71944,-0.38632,3.79512,-0.59633,0.14245,0.75082,-0.94287,0.49819,5.29122,0.96532,-1.69397,1.54106,-1.21938,-0.32885,0.27319,0.71692,1.22812,-1.65828,-0.07798,0.25842,-0.00664,1.60699,-0.00206,5.0
-1.55229,0.95919,-0.81076,-0.90157,0.47518,0.3951,1.63514,-0.51813,-0.63682,-0.65517,1.17991,0.28795,-0.33209,-1.47475,0.25149,-0.40834,-0.61938,0.4114,-1.74729,1.42427,0.11292,0.64034,1.66256,-0.79773,-1.7515,0.6157,0.47363,1.01517,-0.68873,1.82573,1.26632,1.40521,3.0
-0.20579,-1.60375,-0.33968,0.04624,-1.12822,-0.89458,-0.11139,0.29285,-0.66371,-0.25877,-0.71766,-0.16788,-0.35177,-0.27838,0.09638,0.32245,1.04523,0.08402,1.37368,0.29763,1.08593,0.02043,-0.37754,-1.41111,1.53219,1.22812,-1.2925,1.41691,0.39352,-0.00664,1.17475,-0.00206,4.0
0.29285,0.53551,4.03735,1.13017,-0.2915,-0.87598,-1.52671,-0.76128,-0.03971,-0.91607,1.63908,-0.63654,-0.26625,-1.36411,1.37175,0.1617,1.5666,-0.57078,-0.33519,0.42198,-1.06209,0.02043,1.72288,-0.23571,-1.74469,-0.60912,1.59406,-1.08505,-0.11326,-0.00664,0.45625,-0.7057,1.0
-0.35678,-0.15845,2.80896,-0.92213,0.75204,3.90486,-0.80112,1.38607,-0.57308,1.24255,-1.45736,-0.37322,-1.16474,0.9677,-0.14238,-0.76374,0.94198,0.42969,1.05845,1.58733,-1.16756,1.88014,-1.60332,-1.5285,0.37856,1.84053,-1.73177,0.50378,-0.54845,1.21494,1.46157,0.70158,5.0
-0.25805,1.28169,-0.4946,-0.71749,-1.07151,1.03686,0.41035,-1.4502,-0.94306,4.59495,-1.08094,0.13237,1.54529,1.11737,-0.80206,0.0412,-1.1663,-0.88802,-1.12948,0.73646,0.63338,0.02043,-1.00847,-0.70965,0.92779,1.22812,1.09982,-0.45615,-1.68838,-0.00664,-1.50782,-0.00206,4.0
1.395,0.20192,-0.68102,0.33893,0.99825,-0.61925,-1.54498,-1.36084,1.35668,-0.5208,1.42854,1.02601,-0.47927,-1.07625,-0.21544,1.98712,-1.22103,-0.92009,-1.53132,-0.07702,-0.03499,-1.21938,1.58917,-0.71549,0.71329,-1.22154,-0.74004,0.9652,-0.21849,-0.00664,-0.42159,-1.40934,3.0
1.4086,-0.25528,-0.88571,0.23667,-0.25255,-0.8523,1.33305,1.12629,0.76973,0.83107,0.48614,-0.41349,-0.80067,0.78779,0.71663,1.59546,-0.60965,-0.78389,0.243,0.24221,1.68382,0.64034,-1.6167,0.79697,-1.27553,-0.60912,0.00807,-1.48887,-1.18765,0.60415,1.57472,-0.7057,1.0
-0.19146,0.16423,-0.21088,-0.44889,-1.57684,-0.5949,0.22167,0.55172,-0.62978,-0.48664,-1.35208,-0.66915,0.5355,1.49996,-0.7156,1.22857,-0.66057,-0.33162,-1.33439,0.8683,0.82591,0.64034,0.61013,-1.4199,-1.71869,1.22812,0.2526,-1.52276,-0.94511,-1.22821,0.80638,0.70158,5.0
