@relation calhousing-5
@attribute att0 real
@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute label {1.0,2.0,3.0,4.0,5.0}
@data
0.47402,-0.64227,-1.08374,3.76979,2.64714,2.43057,2.82861,1.29182,4.0
0.73855,-0.77804,0.82321,-0.53298,-0.57187,-0.28034,-0.5376,0.14119,3.0
0.78846,-0.83891,0.42593,-0.25521,-0.46267,-0.04104,-0.3859,0.64866,3.0
-1.63227,1.30066,-0.76592,-0.20387,-0.34872,-0.31831,-0.24989,0.13387,3.0
0.80842,-0.87636,0.02865,-0.3698,-0.40807,0.24506,-0.40944,0.13624,3.0
0.65869,-0.8155,0.98212,-0.53161,-0.59798,-0.29977,-0.57945,-0.74084,2.0
-0.08999,0.52348,1.61777,-0.1397,-0.18492,-0.11963,-0.05895,-0.71563,1.0
-0.94348,1.3662,1.85614,0.22471,0.26137,0.321,0.15291,-1.11014,1.0
0.64871,-0.73122,0.42593,-0.84789,-0.46742,-0.16466,-0.46959,-0.80369,2.0
-0.48928,1.14148,-0.13027,-0.65858,-0.74516,-0.8499,-0.78607,-0.50761,1.0
0.9382,-1.01213,-0.44809,0.39569,0.43704,0.04815,0.35169,-0.00562,5.0
1.25264,-1.34453,-0.36864,-0.46148,0.11656,-0.36511,-0.03018,-1.11877,2.0
-0.92352,1.40834,1.06158,-0.41976,-0.37009,-0.31478,-0.35974,-1.05777,1.0
1.25264,-1.21813,-0.44809,-0.28088,-0.54338,-0.66005,-0.41728,1.69523,4.0
-0.82868,1.07125,-0.05081,-0.93773,-0.97068,-0.98059,-1.04763,-1.0395,1.0
-1.20302,0.78566,0.26701,-0.17774,-0.18492,-0.20705,-0.21066,0.91342,4.0
-0.82868,1.01975,-1.08374,0.12387,-0.00213,0.40666,0.15029,0.19603,2.0
-0.7638,1.64711,-1.48102,-0.89647,-0.93745,-0.94615,-0.94039,0.0856,3.0
-2.26615,2.48046,-0.92483,-0.44681,-0.4959,-0.42163,-0.37282,-0.58257,1.0
0.69363,-0.84359,1.85614,-0.0306,-0.12795,-0.34922,-0.12696,0.13655,4.0
-1.25793,1.0853,0.26701,-0.59441,-0.78077,-0.72804,-0.75992,1.13475,4.0
0.7086,-0.48777,0.34647,-0.24054,-0.25851,-0.31655,-0.2682,-0.07173,2.0
1.38241,-0.98872,-2.03721,-0.82772,-0.9327,-1.01856,-1.03455,-0.02241,3.0
0.73855,-0.79677,0.66429,-0.31434,-0.43181,-0.21411,-0.42251,0.14434,3.0
0.54888,-0.64695,0.42593,-0.41426,-0.32973,-0.26975,-0.25773,0.14661,3.0
0.73356,-0.75932,1.06158,-0.54994,-0.56949,-0.37129,-0.52714,-0.23211,3.0
0.79844,-0.71718,-0.20972,-0.5669,-0.61935,-0.12405,-0.58468,0.06807,3.0
-0.43937,0.79034,-0.607,-0.60403,-0.79739,-0.71303,-0.79131,0.50043,2.0
0.56386,-0.52991,-1.8783,-0.51419,-0.75466,-0.06223,-0.74423,2.24428,5.0
-0.88858,1.15084,0.26701,-0.42618,-0.58374,-0.4437,-0.56375,0.86062,2.0
-1.18306,0.80439,-0.84537,-0.32717,0.05484,-0.29094,0.1189,-0.78922,4.0
1.67689,-0.91381,0.42593,-0.94048,-0.85911,-0.70685,-0.87239,-1.20526,1.0
0.59879,-0.82018,-0.13027,-0.43443,-0.49115,-0.5426,-0.45128,0.35005,5.0
-1.27789,0.83716,0.58484,0.61708,1.20381,0.72896,1.2959,-0.17595,5.0
1.81165,-1.05427,-1.8783,-1.12291,-1.17484,-1.22254,-1.25164,-0.6162,1.0
-1.19803,0.94016,0.26701,-0.62007,-0.81638,-0.83047,-0.85931,1.15102,5.0
-0.64401,1.00102,0.74375,-0.49998,-0.6146,-0.67417,-0.61083,-0.02404,1.0
-1.22798,0.78566,-0.28918,-0.23137,-0.30362,-0.25915,-0.27343,0.77909,5.0
-1.19304,0.68735,-0.68646,-0.78555,-0.90896,-0.93997,-0.95347,1.31119,5.0
-1.19803,1.01039,-0.92483,1.39907,0.67918,0.60534,0.71525,1.44352,5.0
1.09292,-0.77336,1.85614,-0.16582,0.07858,-0.22824,0.01167,-0.96971,1.0
0.98312,-0.92786,-1.95776,0.22838,-0.08047,0.15323,-0.03803,1.2505,4.0
-1.20801,0.80439,-0.28918,-0.50823,-0.5054,-0.63444,-0.4199,0.26546,4.0
-1.27789,2.04974,-0.607,-0.7883,-0.81638,-0.86049,-0.841,-0.91886,1.0
-1.18306,0.78566,-1.8783,-0.12457,0.0952,-0.28564,0.00644,0.73351,4.0
-1.38271,1.0853,1.22049,-0.44039,-0.52439,-0.54702,-0.49313,-0.42176,2.0
0.88329,-0.83422,-0.44809,0.18438,-0.16118,0.12585,-0.16096,0.93147,4.0
-1.21301,1.23979,-2.03721,2.01421,1.5504,1.60052,1.45283,0.57444,3.0
-0.43937,-0.31455,-1.40157,-0.61274,-0.61222,-0.23619,-0.7233,-0.69221,2.0
-1.30285,1.00102,1.77668,-0.24237,-0.15881,-0.22294,-0.16096,-0.32396,2.0
0.69862,-0.82954,0.90266,-0.61182,-0.46504,-0.41633,-0.42775,-0.78443,3.0
0.60379,-0.82486,-0.76592,-0.05673,0.08808,-0.13288,0.11629,0.56154,5.0
0.84835,-0.73591,-0.28918,0.46582,-0.16118,0.08788,-0.04064,3.29196,5.0
-1.43262,0.97761,1.53831,0.01799,0.11182,0.30687,0.10583,0.04518,4.0
-1.23297,0.9308,0.50538,-0.90702,-0.9968,-0.96911,-0.95608,-0.03062,3.0
-1.41764,0.94952,1.22049,-1.01061,-0.81401,-0.65651,-0.75207,-0.30917,4.0
0.61377,-0.82954,0.58484,-0.1892,-0.42231,-0.23266,-0.32312,0.73077,4.0
1.21271,-1.36794,1.85614,-0.75942,-0.53151,-0.39779,-0.52975,-1.38601,1.0
1.22269,-1.33985,1.14103,-0.21487,-0.17543,-0.39602,-0.1008,-0.3925,3.0
-1.3877,1.08998,0.58484,-0.20387,-0.01638,0.12144,0.06398,-0.71284,2.0
0.67865,-0.661,0.66429,-0.17224,-0.51252,-0.42781,-0.51406,2.36803,5.0
0.5938,-0.77804,1.06158,-0.35605,-0.47691,-0.54084,-0.4539,1.13081,5.0
-0.43438,-0.31455,0.82321,-0.64528,-0.37721,-0.50728,-0.41467,-1.03782,2.0
0.69862,-0.67973,0.74375,-0.62145,-0.72854,-0.52759,-0.68668,0.26546,3.0
0.68365,-0.74059,-1.63993,-0.85889,-0.79264,-0.61589,-0.85146,-0.72747,2.0
-0.61406,0.88866,0.02865,-0.67554,-0.67395,-0.61766,-0.71807,-0.88296,1.0
-1.36274,1.25384,0.42593,-0.38447,-0.33923,-0.23266,-0.24204,-0.21879,2.0
0.60878,-0.84359,0.58484,-0.70304,-0.81875,-0.7978,-0.85669,1.18328,5.0
-1.35276,1.00102,-0.13027,0.62396,1.27028,0.4199,1.22005,-0.06352,4.0
-0.26468,1.66583,-0.84537,0.54466,0.05009,-1.04593,-1.02932,0.88162,5.0
0.73855,-0.69377,1.61777,-0.53573,-0.66208,-0.65122,-0.62653,0.24978,4.0
0.66368,-0.75932,1.14103,-0.54078,-0.2229,0.59386,-0.17404,-1.04103,1.0
-2.1214,2.11996,-0.76592,-0.1617,0.22814,-0.21323,-0.12173,-1.3938,1.0
0.97812,-0.72186,-1.40157,-0.29142,-0.34872,0.06846,-0.19235,0.39268,2.0
-1.22299,0.78098,0.26701,-0.23,-0.49828,-0.46136,-0.46436,1.30977,5.0
