@relation census1-5
@attribute att0 real
@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute label {1.0,2.0,3.0,4.0,5.0}
@data
-0.0931,-0.2296,-0.61327,-0.82231,-0.41082,0.59152,0.56881,0.64602,2.0
0.92863,0.53118,0.15237,-0.44011,-0.34999,0.08046,-0.24286,-0.62294,5.0
-0.10012,0.08794,1.6848,1.73552,-0.37816,1.16425,3.32603,0.19276,5.0
-0.07338,0.28702,0.65433,-0.06559,-0.40434,-0.7076,0.11552,0.52778,5.0
-0.1012,-0.19393,-1.31367,-1.20811,-0.41082,0.72819,0.4365,0.8628,1.0
0.12602,-0.10176,1.0887,0.00174,-0.38729,-0.798,0.58337,-0.57779,4.0
0.06317,0.37815,1.71312,1.27196,-0.33314,0.61079,1.25784,-1.18082,5.0
0.04886,-0.08415,0.0794,-0.6606,0.84238,0.96439,1.16257,-0.05698,5.0
0.20586,0.70281,-0.36348,0.26461,-0.30537,-0.16397,0.86067,-0.01442,3.0
-0.03731,-0.23155,-0.08473,0.08092,-0.40725,-0.21739,0.11588,0.37316,3.0
0.34706,0.63916,0.9263,-0.56584,4.52036,-0.6995,0.65632,-0.66743,5.0
-0.10384,-0.24533,0.19052,0.39643,-0.36935,-0.57997,-0.18822,0.02525,4.0
-0.10472,-0.21886,0.01539,0.69856,-0.41082,-1.23406,1.08452,-1.48234,4.0
-0.09162,-0.00755,1.52402,0.7319,-0.31178,-0.96758,0.46918,0.24062,4.0
-0.10124,-0.12066,-0.51095,0.31825,-0.41082,-0.81083,-0.65686,1.53284,3.0
-0.10609,-0.24533,1.30074,1.23073,-0.38607,-0.43462,1.68848,-1.48234,5.0
-0.1147,-0.24533,2.86231,1.70441,-0.41082,1.64391,2.88096,-1.48234,5.0
-0.06068,-0.18388,-0.03539,-0.59906,-0.40579,-0.88411,-0.20725,0.08555,3.0
-0.09318,-0.12142,1.12479,0.70227,-0.41082,-1.07201,0.10959,0.9298,4.0
-0.11543,-0.24533,0.8787,0.79739,-0.28309,-1.23406,0.11138,-1.48234,2.0
0.08766,0.10179,0.4114,-0.48257,-0.37731,0.51253,0.75486,0.00275,4.0
-0.11474,-0.24533,-2.66004,-1.92731,-0.41082,-0.73786,0.1199,1.53284,1.0
-0.09835,-0.18039,-0.755,-0.66985,-0.41082,0.39679,-0.84587,0.64602,1.0
-0.10781,0.15116,-0.80046,-0.66,-0.41082,-0.7544,-0.03895,0.02525,1.0
-0.05727,-0.11407,1.48798,2.49256,-0.39183,2.89636,3.34984,-0.41244,5.0
-0.10617,-0.24533,-1.92783,-0.73985,-0.41082,0.07411,0.15041,0.02525,1.0
-0.11507,-0.24533,-0.11185,-0.0967,-0.41082,2.3634,-0.27857,1.53284,2.0
-0.09519,-0.22715,-0.78851,-1.26134,-0.21957,-0.20621,-0.00673,1.53284,2.0
-0.11683,-0.24533,-1.22957,-1.11252,-0.41082,-1.23406,-0.10975,-1.48234,1.0
-0.09955,-0.22474,0.35828,0.05854,-0.41082,0.05075,0.02142,-0.27627,3.0
-0.0905,-0.23169,-0.75856,-0.05977,1.1294,-0.08287,-0.95812,-0.72854,2.0
-0.0909,-0.10941,1.27379,1.33164,0.3387,1.70264,0.32476,-1.18082,4.0
-0.07711,-0.13162,1.38718,1.63371,-0.38255,0.97976,0.8928,0.2137,4.0
3.18419,2.45238,0.70096,-0.75527,1.46506,-0.30343,-0.15721,-0.28912,5.0
-0.11571,-0.24533,0.83637,0.91432,-0.41082,0.20493,-0.88796,0.02525,2.0
-0.11314,-0.24533,-0.67494,0.21065,0.9817,-0.87431,-0.33049,1.53284,3.0
-0.10961,-0.24533,-0.44549,0.85847,-0.26848,-0.13918,-1.24368,1.53284,1.0
-0.08168,-0.24533,-0.6148,-0.71571,0.71224,0.02505,0.04002,1.1021,2.0
-0.07675,0.10276,1.97225,-1.16917,-0.32675,-0.95968,-1.84435,-0.8123,5.0
