@relation census2-5
@attribute att0 real
@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute att8 real
@attribute att9 real
@attribute att10 real
@attribute att11 real
@attribute att12 real
@attribute att13 real
@attribute att14 real
@attribute att15 real
@attribute label {1.0,2.0,3.0,4.0,5.0}
@data
-0.10905,-0.62419,-0.37094,1.54236,1.37363,-1.14626,1.03203,-0.88275,0.03339,-0.74354,0.21736,-0.41082,0.25448,0.25201,-0.57537,-1.48234,1.0
-0.10766,0.66474,-0.38698,-0.89298,-1.10342,0.92644,-0.35527,0.98628,1.45085,0.5475,-0.69379,-0.37152,-0.87966,1.23813,2.54904,-1.48234,5.0
-0.09348,-0.10018,-0.40789,0.22885,0.33799,-0.00858,-0.35527,-0.3865,0.69877,-0.15728,-0.58105,-0.40058,0.30108,-0.05249,-0.34894,-0.47728,3.0
-0.06996,0.55536,0.34012,-1.01944,-1.12968,0.60002,0.26251,1.2722,-0.7037,-0.20018,-0.88927,0.09908,0.05614,-1.0789,-0.48213,0.02525,5.0
-0.11669,1.06964,-0.42394,0.61166,-1.24704,-0.29208,-0.35527,-0.71374,3.06677,0.17584,2.553,-0.41082,0.32971,0.03381,-0.0819,1.28158,1.0
-0.11481,0.55536,-0.42394,-0.36979,-0.70982,0.74877,-0.35527,0.62974,1.65852,-0.71749,-0.2135,-0.41082,0.32971,-1.86606,-0.60784,1.53284,3.0
-0.01883,-0.20886,4.74631,-1.52989,-1.31936,-0.70683,2.26123,1.36935,0.10536,0.48002,-0.44163,4.78876,-1.15656,1.11171,1.51114,0.27652,4.0
-0.1173,0.93793,-0.42394,-0.06666,0.06107,0.79993,-0.35527,0.66537,-0.7037,-1.12498,-0.74842,-0.41082,0.32971,-0.87683,-1.19221,-1.48234,1.0
-0.11271,0.71875,-0.42394,-0.22454,-0.19426,0.62886,-0.35527,0.58435,0.6392,-0.43002,-0.21739,-0.41082,0.32971,-1.11004,-1.19221,0.52778,1.0
-0.10711,-0.04873,-0.41514,0.37274,0.02159,0.40348,-0.35527,0.07791,-0.7037,-1.01727,-0.75207,-0.41082,0.29784,-0.45647,0.0035,0.02525,2.0
-0.03497,-0.92344,2.87401,0.00165,0.82539,-0.07355,-0.04341,-0.38937,0.10797,-0.33156,-0.49148,2.95158,0.30209,-0.08154,-0.02809,0.24062,3.0
-0.10493,-0.23154,-0.42394,-0.1111,-0.15897,0.83604,-0.35527,0.69856,-0.7037,-0.91556,-0.92796,-0.41082,0.32971,-1.11218,-0.47588,-1.48234,4.0
-0.10269,-1.06728,5.73239,-0.66799,0.18358,0.84962,-0.35527,0.71427,1.10613,-0.60465,-0.24564,6.10345,0.29892,0.22551,0.87119,-1.48234,2.0
2.56337,0.04039,0.33031,-0.33045,-0.22897,-0.93465,0.21258,-1.15324,0.58305,1.30937,-0.38917,0.29943,0.05291,0.9022,-0.1721,-0.36595,4.0
-0.05726,-0.31886,-0.41245,0.06568,-0.07448,-0.55429,0.29766,-0.62856,1.57758,0.64588,-0.73072,-0.40157,0.23917,1.11481,-0.5188,-0.8123,5.0
-0.09468,0.17619,-0.42394,-0.0684,0.02546,0.45723,-0.35527,0.20466,0.26213,-0.51409,-0.44796,-0.41082,0.24757,-0.45059,-0.01461,-0.62086,3.0
-0.10354,-0.87349,0.05892,0.89397,1.9798,-1.38676,0.39946,-1.67635,0.6005,-0.00011,-0.20428,0.01738,0.26316,0.75425,-0.74034,1.53284,3.0
-0.11233,-0.71022,-0.42394,0.88016,1.36817,0.08955,-0.35527,-0.63384,-0.7037,-1.12498,-0.62152,-0.41082,0.32971,-0.14983,-0.59204,-1.48234,1.0
-0.09454,0.80339,-0.41975,0.5257,-0.85158,0.45733,-0.35527,0.54273,0.22994,0.05608,6.03236,-0.39946,-0.01966,1.2016,0.51595,0.95852,4.0
-0.11795,1.76194,-0.42394,-0.12496,-0.18394,-1.03008,-0.35527,-1.8401,-0.7037,0.75398,1.59994,-0.41082,0.32971,0.112,-1.19221,1.53284,1.0
-0.10608,-0.57186,-0.42394,2.92828,3.54915,-2.51,2.09489,-2.05912,0.43953,-0.33615,0.00823,-0.41082,0.27137,0.33395,-1.0631,1.23132,1.0
-0.04438,0.82829,-0.39817,-1.6503,-1.82797,1.54197,-0.35527,2.49256,-0.57359,-0.58635,-0.71686,-0.39183,0.18365,-2.23308,1.3899,-0.41244,5.0
-0.08457,2.05523,-0.40322,-1.05407,-1.23759,-1.10622,-0.23129,-0.72964,0.58197,4.01289,4.3869,-0.403,-0.03112,1.58349,-0.48779,-0.1118,5.0
2.38164,0.65336,1.35847,-0.62169,-0.43044,-2.07954,1.13749,-1.77812,0.29299,2.57048,-0.05059,1.07383,-0.4178,1.6443,-0.46979,-0.66659,4.0
-0.05585,0.38825,-0.40469,-0.94464,-0.82541,1.14295,-0.35527,1.5468,-0.41323,-0.29824,-0.63531,-0.40022,0.21854,-1.81596,0.14016,-0.38591,5.0
-0.11552,2.36826,-0.42394,0.58606,-0.33986,0.79916,-0.35527,0.79739,-0.7037,-0.15866,3.71036,-0.41082,0.32971,-1.42926,1.98009,-1.48234,4.0
-0.06333,3.52686,0.74385,-1.25106,-1.18659,-3.11569,4.58438,-0.25226,0.25741,1.46135,-0.61071,-0.18643,0.28066,0.11842,-0.71601,-1.48234,5.0
