@relation computer1-5
@attribute att0 real
@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute att8 real
@attribute att9 real
@attribute att10 real
@attribute att11 real
@attribute label {1.0,2.0,3.0,4.0,5.0}
@data
-0.34786,-0.43846,-1.1804,-0.67082,-0.71697,-0.59873,-0.49727,0.29238,-0.497,-0.14658,-0.24433,1.0332,4.0
0.027,-0.20428,0.03653,-0.26877,-0.14368,-0.51807,-0.38216,-0.68344,-0.35349,-0.1418,-0.58114,-0.83424,3.0
-0.34786,-0.43846,0.43504,-0.37431,-0.23715,-0.67939,-0.49727,-0.57353,0.12384,-0.13703,-0.53562,0.71563,4.0
-0.25415,-0.43846,1.49893,1.26405,0.80971,1.16372,0.07444,0.71144,1.11507,-0.13783,-0.62224,-0.4973,1.0
0.10197,-0.20428,-0.05223,-0.0778,-0.41163,1.17582,0.61545,0.5477,0.50664,-0.11954,-0.23224,0.55104,3.0
-0.3666,-0.43846,-1.29242,-1.00754,-0.83536,-0.67939,-0.49727,-0.80861,-0.35017,-0.14658,2.07346,1.25681,5.0
-0.12295,-0.03701,0.45707,0.71625,0.09934,-0.43741,-0.15194,0.7353,-0.40263,-0.1418,-0.36882,-0.47674,3.0
-0.31038,-0.405,0.07204,-0.30898,0.06818,-0.11476,-0.11357,0.03181,1.01982,-0.13703,2.62904,1.30197,2.0
0.66425,2.10405,-0.28178,0.20364,0.29874,-0.51807,-0.42053,0.77487,-0.28132,-0.14817,-0.6589,-0.66711,2.0
-0.3666,-0.43846,-1.30895,-0.99749,-0.84783,-0.67939,-0.49727,-0.81816,-0.60822,-0.14817,2.63629,1.26889,5.0
-0.1042,-0.33809,-1.09837,-0.91708,-0.76682,-0.19542,-0.22868,-0.47759,-0.59702,-0.14817,2.20641,1.23089,5.0
-0.25415,-0.43846,-0.76108,-0.7261,-0.63596,-0.19542,-0.26705,-0.16729,-0.39643,-0.14817,-0.41274,-0.68537,4.0
0.21442,-0.27119,-0.07916,-0.51,-0.36178,0.44987,-0.11357,-0.4812,-0.48354,3.31925,-0.67421,-3.14705,1.0
-0.2354,-0.405,-0.29708,0.03779,0.18035,-0.51807,-0.42053,0.03695,-0.1602,-0.13624,-0.60733,-0.54213,2.0
1.09534,2.17096,0.86904,-0.03257,0.24266,1.82112,0.4236,-0.13926,0.09856,-0.14817,-0.64681,-0.60656,1.0
0.45808,1.23425,0.1002,-0.57533,-0.41163,-0.27609,-0.30542,-0.66221,-0.32418,-0.13703,-0.21412,0.72994,4.0
-0.32912,-0.405,-1.11674,-0.706,-0.85406,-0.0341,-0.19031,0.65178,-0.56135,-0.14498,3.89208,1.31968,3.0
-0.31038,-0.43846,-0.68212,-0.38436,0.20527,-0.51807,-0.11357,-0.31842,-0.52481,-0.1426,-0.65406,-0.64104,4.0
-0.32912,-0.43846,-1.18162,-0.8819,-0.84159,0.12722,-0.11357,-0.56017,-0.58444,-0.14658,1.84019,1.22499,3.0
0.34562,0.16372,0.48033,0.85697,0.23643,1.17179,0.72864,0.0416,-0.22338,-0.13544,-0.64399,-0.51829,2.0
-0.34786,-0.43846,0.6046,0.30415,0.13673,-0.35675,-0.03683,1.55438,1.4259,-0.14339,-0.5618,-0.73612,2.0
-0.32912,-0.405,-1.24896,-0.88692,-0.8229,-0.67939,-0.49727,-0.43927,-0.65294,-0.14658,2.27248,1.28309,5.0
-0.34786,-0.43846,-1.19019,-0.87185,-0.42409,-0.67939,-0.49727,-0.44384,-0.06439,-0.13067,-0.31161,0.92027,5.0
-0.29163,-0.405,1.14818,2.81194,3.17139,0.20788,-0.22868,1.36119,2.69847,-0.14817,-0.37124,-0.46796,2.0
2.83842,-0.30464,0.07449,-0.0778,-0.03775,-0.51807,-0.38216,1.92168,-0.57768,-0.11158,-0.6593,0.0466,2.0
-0.27289,-0.30464,1.06799,-0.00241,0.14296,-0.51807,-0.30542,-0.72308,-0.33255,-0.14419,-0.42442,-0.79929,3.0
0.17694,0.89971,-0.51011,-0.59041,-0.48018,-0.67939,-0.49727,-0.80426,-0.48416,-0.14021,-0.64641,-0.57028,4.0
-0.3666,-0.43846,-1.19448,-0.88692,-0.72943,-0.67939,-0.49727,-0.81966,-0.62448,-0.13862,0.93733,1.05496,4.0
-0.08546,-0.00355,-0.39013,-0.24867,-0.43033,-0.43741,-0.19031,-0.47956,-0.50857,-0.1426,-0.24755,-0.57866,3.0
-0.31038,-0.405,0.87516,-0.24867,-0.03152,-0.59873,-0.4589,-0.77836,0.82238,-0.13862,-0.59887,0.12902,4.0
-0.21666,-0.405,-0.87004,-0.35923,-0.54249,-0.59873,-0.4589,-0.32771,-0.52805,3.42264,-0.6734,-3.14705,1.0
-0.2354,-0.23773,-0.42624,-0.80651,-0.62973,-0.59873,-0.38216,-0.75975,-0.50111,-0.14817,-0.65527,-0.72481,4.0
-0.16043,-0.405,0.77906,0.11318,0.0121,0.04656,-0.15194,-0.15526,0.27454,-0.12749,-0.64319,-0.62542,3.0
-0.3666,-0.43846,-1.33343,-1.01759,-0.86652,-0.67939,-0.49727,-0.82087,-0.61749,-0.14817,-0.46632,0.95114,5.0
0.57054,1.83642,-0.82168,-0.57533,-0.5238,-0.51807,-0.42053,-0.80035,-0.57969,-0.13067,-0.34948,-0.83617,4.0
0.53305,-0.405,0.45279,0.32928,-0.13122,4.00705,6.11574,-0.17397,-0.38711,-0.13385,-0.65406,-0.555,1.0
-0.3666,-0.43846,-1.33098,-1.02764,-0.87898,-0.67939,-0.49727,-0.82093,-0.64924,-0.14817,2.40745,1.30836,5.0
-0.31038,-0.405,0.80048,0.11318,0.18658,-0.11476,0.08019,0.26816,-0.1124,-0.14419,-0.53521,-0.49863,1.0
7.52412,2.67277,0.05673,1.39471,1.72572,-0.27609,-0.26705,0.70031,1.94174,-0.1418,-0.6033,-0.83372,2.0
-0.32912,-0.405,-1.25079,-1.00251,-0.87275,-0.67939,-0.49727,-0.77708,-0.65738,-0.14658,0.63436,1.23184,5.0
-0.25415,-0.33809,0.12713,-0.24867,-0.06268,-0.0341,0.0399,0.08256,0.64436,-0.11795,-0.07995,0.68097,3.0
0.49557,0.73244,-0.30994,-0.01749,-0.11876,0.20788,0.15501,1.01387,-0.1451,-0.14817,-0.60169,-0.49687,2.0
0.87042,-0.33809,1.10839,-0.25872,-0.1873,4.07964,6.25578,-0.11929,-0.22489,-0.13703,-0.65205,-0.55345,1.0
-0.3666,-0.43846,-1.30895,-0.96231,-0.80421,-0.67939,-0.49727,-0.81826,-0.63518,-0.14339,3.18502,1.29216,5.0
-0.3666,-0.43846,-0.71395,0.08805,-0.1063,-0.59873,-0.49727,-0.70958,-0.44553,-0.14339,-0.04571,1.03915,3.0
-0.17918,-0.30464,0.23181,0.76148,0.57915,0.36517,-0.34379,2.37418,4.00485,0.98908,-0.67663,-3.14704,1.0
-0.32912,-0.405,-1.23794,-0.84169,-0.83536,-0.67939,-0.49727,0.26786,-0.60105,-0.14498,2.65402,1.2739,5.0
-0.1042,-0.27119,-0.65396,-0.67082,-0.55495,-0.67939,-0.49727,-0.37364,-0.279,2.78641,-0.67219,-3.14706,1.0
-0.21666,-0.405,0.65847,-0.21349,-0.21846,2.05907,3.82891,-0.69013,-0.56446,-0.12431,-0.57792,-0.53304,1.0
