@relation computer2-5
@attribute att0 real
@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute att8 real
@attribute att9 real
@attribute att10 real
@attribute att11 real
@attribute att12 real
@attribute att13 real
@attribute att14 real
@attribute att15 real
@attribute att16 real
@attribute att17 real
@attribute att18 real
@attribute att19 real
@attribute att20 real
@attribute label {1.0,2.0,3.0,4.0,5.0}
@data
-0.32912,-0.405,-1.28324,-0.99246,-0.79174,-0.59873,-0.4589,-0.77221,-0.58489,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.59661,-0.55601,-0.63096,-0.79537,-0.14817,1.7584,1.27,5.0
-0.34786,-0.43846,0.42402,-0.26374,-0.29947,-0.51807,-0.42053,-0.74022,-0.47037,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.55337,-0.50215,-0.65193,-0.61003,-0.14817,0.47079,-0.74959,4.0
-0.12295,-0.07046,0.47666,0.98261,0.76609,-0.19542,0.27012,0.60702,0.26814,2.47119,2.30192,1.35586,0.32714,0.50321,-0.17859,-0.22389,0.12591,0.14704,-0.14817,-0.63271,-0.53807,2.0
-0.27289,-0.37155,-0.39564,-0.42959,-0.44279,-0.51807,-0.0752,-0.66941,-0.5033,0.28353,-0.07803,-0.22648,-0.30259,-0.05737,-0.49571,-0.47522,-0.51122,-0.60029,-0.14419,-0.62949,-0.77392,4.0
-0.34786,-0.405,-1.30772,-0.98744,-0.84783,-0.67939,-0.49727,-0.7353,-0.55911,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.59661,-0.55601,-0.82323,-0.88228,-0.14817,1.89176,1.28763,5.0
-0.29163,-0.37155,-0.42992,-0.15821,-0.48018,-0.0341,-0.15194,-0.60745,-0.56054,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.45247,-0.38546,0.07347,-0.17966,-0.13783,-0.43127,-0.61295,3.0
0.40185,1.53533,-0.50154,-0.21851,-0.42409,-0.67939,-0.49727,-0.3224,-0.23658,0.69995,0.08037,-0.14583,-0.30259,0.0127,-0.10652,-0.09823,-0.82323,-0.52416,-0.1426,-0.64037,-0.8244,3.0
-0.2354,-0.30464,0.00776,-0.18333,-0.1873,0.04656,0.53871,-0.35108,0.11493,0.17235,0.88223,1.41147,1.27455,-0.05737,-0.53895,-0.5201,0.61883,0.81196,-0.14817,-0.63593,-0.63503,2.0
0.1582,-0.03701,0.97188,-0.00241,-0.13122,0.85318,0.30849,-0.36099,-0.06102,-0.24219,0.72449,1.46709,2.27537,-0.19752,-0.56778,-0.53806,0.79363,0.61719,-0.1259,-0.29953,0.50924,1.0
-0.17918,-0.13737,0.61133,-0.15821,0.06818,-0.43741,-0.30542,-0.72338,-0.57023,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.14976,-0.26877,-0.39149,-0.46553,-0.13703,-0.25118,0.30798,3.0
0.96414,2.23787,-0.76782,0.05287,0.04326,-0.59873,-0.4589,-0.21718,-0.33482,-0.16682,-0.2877,-0.25089,-0.24918,0.43314,0.15294,0.13515,-0.6397,-0.33987,6.96958,-0.67461,-3.14705,1.0
0.36437,-0.43846,0.69703,0.16846,-0.19353,3.1117,4.721,0.1372,-0.47356,0.47384,1.2503,1.30642,1.01029,-0.19752,1.01781,1.0956,2.10984,2.41928,-0.13385,-0.64923,-0.54817,1.0
-0.34786,-0.43846,-0.27382,-0.13308,-0.23715,-0.67939,-0.49727,-0.70211,-0.25755,0.73952,0.67388,0.44897,0.28891,-0.19752,-0.4085,-0.39399,-0.82297,-0.46348,-0.14658,-0.65004,-0.53193,4.0
-0.1042,-0.13737,0.13509,-0.65072,-0.5238,-0.35675,-0.34379,-0.16639,-0.42244,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.53895,-0.50215,-0.47889,0.03918,-0.12749,2.58069,0.17609,4.0
