@relation machine
@attribute att0 real
@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute label {1.0,2.0,3.0,4.0,5.0}
@data
-0.55261,0.29185,0.35849,0.95485,0.04422,-0.39496,4.0
-0.01469,-0.22378,-0.32372,0.95485,-0.54261,-0.51036,3.0
-0.59103,-0.06393,-0.11224,0.118,1.07118,0.22049,3.0
-0.42965,-0.22378,-0.32372,0.16723,-0.54261,-0.47189,3.0
-0.59103,-0.22378,0.35849,-0.02968,0.19093,-0.08724,3.0
0.17742,-0.60741,-0.66483,-0.62039,-0.54261,-0.43343,2.0
3.44335,-0.60741,-0.87802,-0.62039,-0.54261,-0.66422,1.0
-0.43734,-0.67341,-0.92066,-0.62039,-0.24919,-0.31803,1.0
-0.01469,-0.48159,-0.32372,-0.62039,-0.54261,-0.62575,2.0
2.29067,-0.54141,-0.83538,-0.62039,-0.68932,-0.70269,1.0
-0.49497,-0.22378,-0.32372,0.95485,-0.54261,0.759,5.0
0.75376,-0.48159,-0.7501,-0.62039,-0.54261,-0.62575,2.0
0.56165,-0.72291,-1.00048,-0.62039,-0.54261,-0.54882,1.0
-0.71782,0.29185,0.35849,-0.42349,0.19093,-0.2411,4.0
-0.09153,-0.67186,-0.66483,-0.62039,-0.54261,-0.58729,1.0
-0.59103,1.32311,0.35849,0.56104,-0.54261,-0.31803,4.0
-0.3797,-0.48159,-0.66483,-0.62039,-0.24919,0.22049,2.0
-0.24522,-0.22378,-0.66483,-0.62039,-0.10248,-0.39496,3.0
2.32909,-0.48159,-0.57955,-0.62039,-0.54261,-0.66422,1.0
-0.56798,0.61154,0.78231,0.118,1.07118,0.22049,4.0
-0.59103,-0.22378,0.35849,-0.02968,-0.54261,-0.47189,4.0
-0.01469,-0.48159,-0.83538,-0.62039,-0.54261,-0.62575,2.0
-0.34128,-0.22378,-0.66483,-0.57117,-0.54261,-0.51036,3.0
-0.4066,-0.48159,-0.32372,0.16723,-0.3959,-0.39496,3.0
-0.59103,-0.22378,0.35849,-0.42349,-0.24919,-0.47189,3.0
-0.36049,-0.48159,0.01738,-0.22658,-0.54261,-0.62575,3.0
-0.59103,-0.22378,0.35849,-0.42349,-0.24919,-0.51036,3.0
0.44638,-0.67341,-0.57955,-0.52194,-0.54261,-0.47189,2.0
-0.68709,-0.40167,-0.78251,2.60393,1.07118,0.22049,5.0
0.08137,-0.22378,-0.66483,-0.42349,-0.24919,-0.47189,2.0
-0.51418,0.29185,0.01738,-0.42349,0.19093,-0.39496,4.0
2.29067,-0.67341,-0.32372,-0.62039,-0.54261,-0.54882,1.0
-0.53724,0.61154,0.78231,0.118,1.07118,0.22049,5.0
-0.68324,1.32311,1.0407,0.16723,0.48435,-0.08724,5.0
-0.35281,-0.48159,-0.92066,-0.62039,-0.54261,-0.54882,1.0
-0.59103,0.29185,1.72291,2.13628,6.93949,3.29773,5.0
-0.56798,-0.22378,-0.49428,-0.62039,-0.54261,-0.39496,1.0
-0.68709,-0.40167,-0.78251,2.60393,1.07118,0.22049,5.0
-0.30286,-0.67341,-0.49428,5.68057,1.65801,4.2209,5.0
-0.67172,1.32311,1.72291,0.16723,0.48435,0.52821,5.0
-0.24522,-0.22378,-0.66483,-0.42349,-0.54261,0.06662,1.0
-0.59103,-0.22378,0.35849,-0.02968,-0.54261,-0.47189,4.0
-0.24522,-0.22378,-0.32372,0.16723,-0.54261,1.37445,4.0
2.6749,-0.60741,-0.92066,-0.62039,-0.54261,-0.62575,1.0
-0.36049,0.05982,-0.47722,-0.62039,0.19093,1.75911,4.0
-0.59103,-0.06393,-0.11224,0.118,1.07118,0.22049,2.0
-0.68709,-0.22378,0.01738,-0.22658,-0.24919,-0.51036,4.0
0.08137,-0.22378,-0.66483,-0.42349,-0.24919,-0.47189,3.0
-0.24522,-0.22378,-0.66483,-0.62039,-0.24919,-0.47189,2.0
-0.2337,-0.60741,-0.57955,-0.62039,0.33764,0.52821,2.0
-0.16838,-0.48159,-0.66483,-0.42349,-0.54261,-0.16417,3.0
-0.24522,-0.22378,1.72291,0.16723,-0.54261,1.37445,5.0
-0.64866,1.32311,1.72291,0.95485,0.48435,0.22049,5.0
-0.59103,0.29185,0.35849,0.95485,0.04422,-0.31803,4.0
-0.01469,-0.60741,-0.32372,-0.42349,-0.54261,-0.39496,3.0
1.06115,-0.60741,-0.32372,0.16723,-0.68932,-0.70269,4.0
-0.67172,1.32311,0.35849,0.16723,0.48435,-0.08724,4.0
0.48481,-0.48159,-0.66483,-0.62039,-0.24919,-0.47189,1.0
-0.3797,-0.22378,-0.32372,-0.22658,-0.10248,-0.16417,3.0
-0.3797,-0.67341,-0.83538,-0.62039,-0.24919,-0.31803,2.0
-0.66787,3.38564,1.72291,5.68057,1.65801,0.22049,5.0
-0.5065,0.29185,0.35849,0.95485,0.48435,-0.08724,5.0
-0.36049,-0.48159,-0.66483,-0.22658,-0.54261,-0.62575,2.0
0.36954,-0.54141,-0.7501,-0.47271,0.19093,0.22049,3.0
-0.3797,-0.22378,-0.66483,-0.42349,-0.24919,0.02816,2.0
2.29067,-0.67341,-0.32372,-0.62039,-0.54261,-0.54882,1.0
