@relation stock
@attribute att0 real
@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute att8 real
@attribute label {1.0,2.0,3.0,4.0,5.0}
@data
0.65749,-0.16089,-0.44114,1.98811,-0.49747,0.11343,1.28473,1.41602,-0.57709,3.0
-1.67611,0.78397,0.06246,-0.06294,0.03577,0.92703,-0.48699,-1.90873,0.06693,1.0
1.74227,-0.73221,-0.94474,-0.39735,-1.04819,-1.10697,-1.11447,1.4581,1.32568,5.0
0.72719,-0.55642,-0.94474,1.54223,-0.84714,0.06823,1.26627,1.33185,-1.07473,3.0
-0.35759,1.41022,1.29855,0.29376,1.18092,0.49763,0.86025,-0.35157,0.85731,4.0
1.14542,-1.71003,-1.26521,0.62817,-1.39786,0.56543,0.93407,1.66853,-0.51854,4.0
-1.06188,0.5093,0.97808,-1.02158,0.11444,0.99483,-0.76382,-1.06702,-0.3429,1.0
-1.78941,0.54226,0.1998,-0.41964,0.06199,0.70103,-0.69,-2.16124,0.71094,1.0
-1.54256,0.95976,0.84074,-0.50882,0.2106,0.83663,-0.57927,-1.6983,-0.22581,1.0
-1.86199,0.65213,0.33714,-0.24129,0.07948,0.36203,-0.37626,-1.4037,1.06222,1.0
1.02924,-0.24879,0.38293,1.36387,-0.22648,-0.45157,1.65383,1.20559,-0.43072,3.0
-0.09327,0.61917,-0.12067,0.33835,0.58649,-1.01657,1.08172,0.11137,0.65239,5.0
-0.91234,0.60818,0.47449,-0.48652,1.75787,0.42983,-0.0256,-0.56199,-0.02089,2.0
-1.6355,0.72904,0.06246,0.29376,0.18437,1.44683,-0.45008,-1.82456,1.17931,1.0
-1.22164,0.90483,0.88652,-0.26359,0.09696,0.97223,-0.8561,-1.02493,0.47675,1.0
1.65658,-1.51227,-0.94474,-1.3114,-1.24925,-1.78498,-1.87114,1.12142,-0.3429,5.0
0.8666,-0.84207,-0.89895,1.69828,-1.42408,0.74623,1.63538,1.58436,-1.16255,3.0
-0.20945,1.33331,0.52027,0.71735,0.86622,0.24903,1.30318,-0.09906,0.88658,5.0
0.50209,-0.53444,-1.7688,-1.17764,-0.44502,-1.42337,-1.50203,-0.68825,1.35495,4.0
-0.02357,1.17949,0.88652,0.78423,0.83125,-0.08997,1.13708,0.57431,0.85731,5.0
-1.12434,0.87186,1.25277,-0.37505,0.29802,1.17563,-0.59772,-0.60408,0.59385,1.0
-1.57881,0.90483,2.07684,-0.10753,0.07073,1.06263,-0.61618,-1.1091,1.4135,1.0
0.75043,-2.10555,-1.67724,-1.28911,-0.83839,-1.62678,-0.94837,-0.30948,-2.9775,3.0
-1.25352,0.89384,0.42871,-0.77635,-0.09536,0.97223,-1.20675,-1.36162,0.41821,1.0
0.27411,-1.74299,-1.21942,-1.3114,-0.99574,-1.51377,-0.61618,0.40597,-1.60165,2.0
-0.10926,1.19048,0.56605,0.76194,0.74384,0.15863,1.35855,-0.14114,0.94513,5.0
0.51808,-1.62213,-1.31099,-1.28911,-0.85588,-1.35557,-0.57927,0.70057,-1.39674,3.0
-0.89636,0.60818,0.52027,-0.64258,1.8278,0.65583,0.08513,-0.43574,0.0962,2.0
0.65749,-1.44635,-1.12786,-1.77957,-1.22303,-1.37817,-1.00374,-0.56199,-1.54311,4.0
0.76204,-1.91878,-1.26521,-1.3114,-0.75972,-1.62678,-0.78227,0.3218,-2.59695,3.0
0.56455,0.04786,0.15402,2.34481,-0.65482,1.01743,2.00449,1.16351,0.21329,3.0
-1.1025,0.49831,0.9323,-1.08846,0.14941,0.97223,-0.91146,-1.15119,-0.48927,1.0
-0.13249,1.23443,0.52027,1.16323,0.70887,0.02303,1.377,0.11137,0.91585,5.0
1.2456,-0.86405,-1.67724,-0.08523,-1.03945,-1.21997,-0.94837,0.65848,1.35495,5.0
0.13034,-0.30372,-1.90615,-0.66488,-0.06913,-1.15217,-0.59772,-0.05697,0.79876,4.0
-1.31458,0.79496,0.56605,-0.82093,-0.05165,0.88183,-1.31748,-1.52996,0.24257,1.0
