@relation toy-ordinal-weka.filters.supervised.instance.StratifiedRemoveFolds-S1172326640-V-N4-F1

@attribute x1 numeric
@attribute x2 numeric
@attribute y {1,2,3,4,5}

@data
0.080171,0.57122,2
0.41907,0.87125,2
0.79698,0.3546,2
0.24669,0.60274,2
0.83815,0.39471,2
0.58061,0.085175,2
0.69289,0.084547,2
0.92795,0.3365,2
0.039185,0.66149,2
0.40904,0.63785,2
0.60463,0.36846,2
0.4602,0.7796,2
0.32795,0.58847,2
0.85889,0.26189,2
0.11094,0.71916,2
0.73046,0.27521,2
0.81716,0.42602,2
0.29019,0.91512,2
0.26925,0.6309,2
0.70564,0.22936,2
0.16481,0.54812,2
0.74673,0.27155,2
0.88583,0.84385,5
0.86232,0.88763,5
0.070224,0.15881,5
0.8519,0.94896,5
0.77038,0.90998,5
0.82474,0.81971,5
0.15833,0.091409,5
0.35489,0.2831,4
0.69633,0.79935,4
0.93611,0.72345,4
0.82494,0.64959,4
0.093461,0.36838,4
0.2936,0.023302,4
0.85163,0.67125,4
0.24555,0.2838,4
0.40407,0.08235,4
0.21131,0.3085,4
0.61517,0.92539,4
0.6837,0.99276,4
0.88289,0.6164,4
0.06543,0.30027,4
0.5794,0.83574,4
0.70509,0.78691,4
0.69101,0.91796,4
0.93545,0.073785,1
0.11247,0.8134,1
0.015836,0.85092,1
0.007155,0.84027,1
0.25657,0.9355,1
0.019382,0.93832,1
0.74216,0.011303,1
0.19368,0.90944,1
0.92369,0.045739,1
0.76472,0.50544,3
0.48329,0.92331,3
0.42375,0.36931,3
0.99152,0.49241,3
0.29175,0.40189,3
0.50817,0.0878,3
0.26351,0.43182,3
0.40385,0.37688,3
0.56273,0.40084,3
0.78916,0.4887,3
0.68317,0.59547,3
0.47453,0.62063,3
0.51963,0.12806,3
0.3877,0.41387,3
0.63734,0.47111,3
0.52583,0.11915,3
0.41434,0.45077,3
0.35428,0.49382,3
0.51862,0.090424,3
0.55123,0.32701,3
0.47008,0.94685,2
0.74931,0.3644,2
0.47401,0.93543,2
0.39123,0.83802,2
0.58668,0.35135,2
0.29481,0.78418,2
0.41563,0.80606,2
0.12416,0.70061,2
0.63675,0.19243,2
0.097105,0.74012,2
0.25588,0.59506,2
0.34966,0.80765,2
0.60546,0.022458,2
0.078315,0.70913,2
0.90869,0.3058,2
0.39228,0.64824,2
0.31093,0.77076,2
0.19841,0.65001,2
0.80845,0.4176,2
0.95441,0.45151,2
0.64033,0.29844,2
0.87103,0.93255,5
0.9881,0.87372,5
0.80414,0.9634,5
0.79299,0.84561,5
0.2381,0.006836,5
0.87687,0.99768,5
0.73162,0.97034,5
0.71319,0.97197,5
0.61125,0.74618,4
0.19576,0.2489,4
0.64021,0.90955,4
0.61756,0.92275,4
0.91325,0.6191,4
0.7736,0.61679,4
0.2974,0.091541,4
0.64708,0.93525,4
0.364,0.30328,4
0.78025,0.78415,4
0.88071,0.61324,4
0.76985,0.83654,4
0.92458,0.64322,4
0.64163,0.99521,4
0.23868,0.38973,4
0.61186,0.9068,4
0.64343,0.71977,4
0.93034,0.11308,1
0.082818,0.96646,1
0.066426,0.86221,1
0.87143,0.069843,1
0.872,0.04329,1
0.020626,0.83245,1
0.99909,0.069148,1
0.16202,0.96709,1
0.16221,0.91459,1
0.48468,0.47292,3
0.77524,0.46723,3
0.060447,0.49386,3
0.70016,0.54921,3
0.70688,0.59994,3
0.27265,0.48644,3
0.64364,0.61377,3
0.97423,0.5432,3
0.68817,0.57834,3
0.47602,0.29086,3
0.45428,0.33706,3
0.41635,0.51793,3
0.52925,0.24801,3
0.064857,0.44928,3
0.4709,0.038463,3
0.39702,0.52786,3
0.23393,0.46577,3
0.45782,0.04314,3
0.85414,0.53746,3
0.51944,0.11964,3
