@relation winequality-red-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.supervised.instance.StratifiedRemoveFolds-S484329355-V-N4-F1

@attribute FixedAcidity numeric
@attribute VolatileAcidity numeric
@attribute CitricAcid numeric
@attribute ResidualSugar numeric
@attribute Chlorides numeric
@attribute FreeSulfurDioxide numeric
@attribute TotalSulfurDioxide numeric
@attribute Density numeric
@attribute PH numeric
@attribute Sulphates numeric
@attribute Alcohol numeric
@attribute Quality {3,4,5,6,7,8}

@data
7,0.62,0.1,1.4,0.071,27,63,0.996,3.28,0.61,9.2,5
8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5
9.2,0.43,0.49,2.4,0.086,23,116,0.9976,3.23,0.64,9.5,5
6.9,0.57,0,2.8,0.081,21,41,0.99518,3.41,0.52,10.8,5
7.3,0.73,0.24,1.9,0.108,18,102,0.9967,3.26,0.59,9.3,5
8.6,0.635,0.68,1.8,0.403,19,56,0.99632,3.02,1.15,9.3,5
7.6,0.42,0.25,3.9,0.104,28,90,0.99784,3.15,0.57,9.1,5
9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,5
9.3,0.715,0.24,2.1,0.07,5,20,0.9966,3.12,0.59,9.9,5
8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,5
7.5,0.725,0.04,1.5,0.076,8,15,0.99508,3.26,0.53,9.6,5
7.4,0.39,0.48,2,0.082,14,67,0.9972,3.34,0.55,9.2,5
12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,5
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5
7.6,0.665,0.1,1.5,0.066,27,55,0.99655,3.39,0.51,9.3,5
6.8,0.68,0.21,2.1,0.07,9,23,0.99546,3.38,0.6,10.3,5
9.4,0.615,0.28,3.2,0.087,18,72,1.0001,3.31,0.53,9.7,5
6.5,0.615,0,1.9,0.065,9,18,0.9972,3.46,0.65,9.2,5
7.6,0.52,0.12,3,0.067,12,53,0.9971,3.36,0.57,9.1,5
8.6,0.8,0.11,2.3,0.084,12,31,0.9979,3.4,0.48,9.9,5
7.8,0.56,0.19,2.1,0.081,15,105,0.9962,3.33,0.54,9.5,5
7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5
12.4,0.42,0.49,4.6,0.073,19,43,0.9978,3.02,0.61,9.5,5
6.6,0.7,0.08,2.6,0.106,14,27,0.99665,3.44,0.58,10.2,5
7.3,0.49,0.1,2.6,0.068,4,14,0.99562,3.3,0.47,10.5,5
7.8,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3,5
7.1,0.36,0.3,1.6,0.08,35,70,0.99693,3.44,0.5,9.4,5
7.7,0.41,0.76,1.8,0.611,8,45,0.9968,3.06,1.26,9.4,5
9,0.47,0.31,2.7,0.084,24,125,0.9984,3.31,0.61,9.4,5
7.6,0.49,0.33,1.9,0.074,27,85,0.99706,3.41,0.58,9,5
7.6,0.41,0.24,1.8,0.08,4,11,0.9962,3.28,0.59,9.5,5
5.9,0.19,0.21,1.7,0.045,57,135,0.99341,3.32,0.44,9.5,5
8.1,0.66,0.7,2.2,0.098,25,129,0.9972,3.08,0.53,9,5
7.2,0.61,0.08,4,0.082,26,108,0.99641,3.25,0.51,9.4,5
7.2,0.41,0.3,2.1,0.083,35,72,0.997,3.44,0.52,9.4,5
7,0.685,0,1.9,0.099,9,22,0.99606,3.34,0.6,9.7,5
6.2,0.65,0.06,1.6,0.05,6,18,0.99348,3.57,0.54,11.95,5
6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,5
6.8,0.67,0.02,1.8,0.05,5,11,0.9962,3.48,0.52,9.5,5
8.5,0.46,0.59,1.4,0.414,16,45,0.99702,3.03,1.34,9.2,5
9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,5
6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,5
9.9,0.57,0.25,2,0.104,12,89,0.9963,3.04,0.9,10.1,5
8.3,0.56,0.22,2.4,0.082,10,86,0.9983,3.37,0.62,9.5,5
7.2,0.655,0.03,1.8,0.078,7,12,0.99587,3.34,0.39,9.5,5
9.4,0.4,0.47,2.5,0.087,6,20,0.99772,3.15,0.5,10.5,5
7,0.49,0.49,5.6,0.06,26,121,0.9974,3.34,0.76,10.5,5
7.7,0.705,0.1,2.6,0.084,9,26,0.9976,3.39,0.49,9.7,5
10.4,0.64,0.24,2.8,0.105,29,53,0.9998,3.24,0.67,9.9,5
7,0.5,0.25,2,0.07,3,22,0.9963,3.25,0.63,9.2,5
9.7,0.69,0.32,2.5,0.088,22,91,0.9979,3.29,0.62,10.1,5
6.9,0.4,0.24,2.5,0.083,30,45,0.9959,3.26,0.58,10,5
7.9,0.69,0.21,2.1,0.08,33,141,0.9962,3.25,0.51,9.9,5
5.9,0.645,0.12,2,0.075,32,44,0.99547,3.57,0.71,10.2,5
9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,5
7.8,0.64,0,1.9,0.072,27,55,0.9962,3.31,0.63,11,5
8.1,0.785,0.52,2,0.122,37,153,0.9969,3.21,0.69,9.3,5
8.8,0.52,0.34,2.7,0.087,24,122,0.9982,3.26,0.61,9.5,5
9.2,0.92,0.24,2.6,0.087,12,93,0.9998,3.48,0.54,9.8,5
7.1,0.31,0.3,2.2,0.053,36,127,0.9965,2.94,1.62,9.5,5
6.7,0.7,0.08,3.75,0.067,8,16,0.99334,3.43,0.52,12.6,5
9.5,0.37,0.52,2,0.082,6,26,0.998,3.18,0.51,9.5,5
5.2,0.32,0.25,1.8,0.103,13,50,0.9957,3.38,0.55,9.2,5
7.7,0.965,0.1,2.1,0.112,11,22,0.9963,3.26,0.5,9.5,5
7.3,0.59,0.26,2,0.08,17,104,0.99584,3.28,0.52,9.9,5
9.9,0.35,0.41,2.3,0.083,11,61,0.9982,3.21,0.5,9.5,5
8.9,0.62,0.18,3.8,0.176,52,145,0.9986,3.16,0.88,9.2,5
10,0.35,0.45,2.5,0.092,20,88,0.99918,3.15,0.43,9.4,5
8.9,0.595,0.41,7.9,0.086,30,109,0.9998,3.27,0.57,9.3,5
8.6,0.47,0.27,2.3,0.055,14,28,0.99516,3.18,0.8,11.2,5
7.1,0.68,0,2.3,0.087,17,26,0.99783,3.45,0.53,9.5,5
7.2,0.6,0.04,2.5,0.076,18,88,0.99745,3.53,0.55,9.5,5
6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,5
9.8,0.37,0.39,2.5,0.079,28,65,0.99729,3.16,0.59,9.8,5
9.1,0.34,0.42,1.8,0.058,9,18,0.99392,3.18,0.55,11.4,5
7.4,0.53,0.26,2,0.101,16,72,0.9957,3.15,0.57,9.4,5
9.2,0.46,0.23,2.6,0.091,18,77,0.99922,3.15,0.51,9.4,5
8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,5
7.5,0.58,0.2,2,0.073,34,44,0.99494,3.1,0.43,9.3,5
9.1,0.47,0.49,2.6,0.094,38,106,0.9982,3.08,0.59,9.1,5
9.1,0.66,0.15,3.2,0.097,9,59,0.99976,3.28,0.54,9.6,5
11,0.26,0.68,2.55,0.085,10,25,0.997,3.18,0.61,11.8,5
7.6,0.49,0.26,1.6,0.236,10,88,0.9968,3.11,0.8,9.3,5
6.4,0.4,0.23,1.6,0.066,5,12,0.9958,3.34,0.56,9.2,5
8.5,0.46,0.31,2.25,0.078,32,58,0.998,3.33,0.54,9.8,5
6.6,0.63,0,4.3,0.093,51,77.5,0.99558,3.2,0.45,9.5,5
8.1,0.56,0.28,1.7,0.368,16,56,0.9968,3.11,1.28,9.3,5
6.6,0.57,0.02,2.1,0.115,6,16,0.99654,3.38,0.69,9.5,5
6,0.64,0.05,1.9,0.066,9,17,0.99496,3.52,0.78,10.6,5
6.9,0.63,0.02,1.9,0.078,18,30,0.99712,3.4,0.75,9.8,5
12.7,0.6,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4,5
7.5,0.4,0.18,1.6,0.079,24,58,0.9965,3.34,0.58,9.4,5
8.8,0.44,0.49,2.8,0.083,18,111,0.9982,3.3,0.6,9.5,5
8.7,0.46,0.31,2.5,0.126,24,64,0.99746,3.1,0.74,9.6,5
7,0.5,0.14,1.8,0.078,10,23,0.99636,3.53,0.61,10.4,5
8.8,0.4,0.4,2.2,0.079,19,52,0.998,3.44,0.64,9.2,5
6.8,0.5,0.11,1.5,0.075,16,49,0.99545,3.36,0.79,9.5,5
7.7,0.935,0.43,2.2,0.114,22,114,0.997,3.25,0.73,9.2,5
7.1,0.48,0.28,2.8,0.068,6,16,0.99682,3.24,0.53,10.3,5
6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5,5
7.8,0.62,0.05,2.3,0.079,6,18,0.99735,3.29,0.63,9.3,5
10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,5
8.1,0.82,0,4.1,0.095,5,14,0.99854,3.36,0.53,9.6,5
8,0.39,0.3,1.9,0.074,32,84,0.99717,3.39,0.61,9,5
7,0.23,0.4,1.6,0.063,21,67,0.9952,3.5,0.63,11.1,5
8.4,0.665,0.61,2,0.112,13,95,0.997,3.16,0.54,9.1,5
6.7,0.54,0.13,2,0.076,15,36,0.9973,3.61,0.64,9.8,5
7.8,0.43,0.32,2.8,0.08,29,58,0.9974,3.31,0.64,10.3,5
8.3,0.615,0.22,2.6,0.087,6,19,0.9982,3.26,0.61,9.3,5
7.1,0.66,0,3.9,0.086,17,45,0.9976,3.46,0.54,9.5,5
9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,5
8.7,0.765,0.22,2.3,0.064,9,42,0.9963,3.1,0.55,9.4,5
11.1,0.39,0.54,2.7,0.095,21,101,1.0001,3.13,0.51,9.5,5
7.2,0.6,0.04,2.5,0.076,18,88,0.99745,3.53,0.55,9.5,5
8.9,0.875,0.13,3.45,0.088,4,14,0.9994,3.44,0.52,11.5,5
6.9,0.58,0.2,1.75,0.058,8,22,0.99322,3.38,0.49,11.7,5
9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7,5
9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,5
7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,5
7.2,0.34,0.24,2,0.071,30,52,0.99576,3.44,0.58,10.1,5
6.4,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,5
7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,5
7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5,5
7.8,0.57,0.31,1.8,0.069,26,120,0.99625,3.29,0.53,9.3,5
8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5
11.1,0.35,0.48,3.1,0.09,5,21,0.9986,3.17,0.53,10.5,5
9,0.69,0,2.4,0.088,19,38,0.999,3.35,0.6,9.3,5
10.6,0.36,0.6,2.2,0.152,7,18,0.9986,3.04,1.06,9.4,5
7.3,0.58,0.3,2.4,0.074,15,55,0.9968,3.46,0.59,10.2,5
11.6,0.42,0.53,3.3,0.105,33,98,1.001,3.2,0.95,9.2,5
9.6,0.41,0.37,2.3,0.091,10,23,0.99786,3.24,0.56,10.5,5
7.1,0.65,0.18,1.8,0.07,13,40,0.997,3.44,0.6,9.1,5
11.3,0.37,0.5,1.8,0.09,20,47,0.99734,3.15,0.57,10.5,5
7.9,0.5,0.33,2,0.084,15,143,0.9968,3.2,0.55,9.5,5
6.9,0.63,0.33,6.7,0.235,66,115,0.99787,3.22,0.56,9.5,5
7.7,0.66,0.04,1.6,0.039,4,9,0.9962,3.4,0.47,9.4,5
7.7,0.56,0.2,2,0.075,9,39,0.9987,3.48,0.62,9.3,5
8.9,0.48,0.24,2.85,0.094,35,106,0.9982,3.1,0.53,9.2,5
7.2,0.54,0.27,2.6,0.084,12,78,0.9964,3.39,0.71,11,5
7.9,0.69,0.21,2.1,0.08,33,141,0.9962,3.25,0.51,9.9,5
6.3,0.6,0.1,1.6,0.048,12,26,0.99306,3.55,0.51,12.1,5
8.5,0.34,0.44,1.7,0.079,6,12,0.99605,3.52,0.63,10.7,5
5.6,0.31,0.37,1.4,0.074,12,96,0.9954,3.32,0.58,9.2,5
7.6,0.46,0.11,2.6,0.079,12,49,0.9968,3.21,0.57,10,5
9.9,0.74,0.19,5.8,0.111,33,76,0.99878,3.14,0.55,9.4,5
7.1,0.34,0.28,2,0.082,31,68,0.99694,3.45,0.48,9.4,5
7.4,0.74,0.07,1.7,0.086,15,48,0.99502,3.12,0.48,10,5
7.1,0.715,0,2.35,0.071,21,47,0.99632,3.29,0.45,9.4,5
9,0.66,0.17,3,0.077,5,13,0.9976,3.29,0.55,10.4,5
7.2,0.66,0.03,2.3,0.078,16,86,0.99743,3.53,0.57,9.7,5
8.6,0.37,0.65,6.4,0.08,3,8,0.99817,3.27,0.58,11,5
9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,5
10,0.69,0.11,1.4,0.084,8,24,0.99578,2.88,0.47,9.7,5
6.1,0.715,0.1,2.6,0.053,13,27,0.99362,3.57,0.5,11.9,5
7.4,0.5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1,5
7.1,0.685,0.35,2,0.088,9,92,0.9963,3.28,0.62,9.4,5
8.2,0.39,0.49,2.3,0.099,47,133,0.9979,3.38,0.99,9.8,5
6.6,0.8,0.03,7.8,0.079,6,12,0.9963,3.52,0.5,12.2,5
7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5
7.7,0.835,0,2.6,0.081,6,14,0.9975,3.3,0.52,9.3,5
8.3,0.705,0.12,2.6,0.092,12,28,0.9994,3.51,0.72,10,5
10,0.32,0.59,2.2,0.077,3,15,0.9994,3.2,0.78,9.6,5
6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,5
7.7,0.51,0.28,2.1,0.087,23,54,0.998,3.42,0.74,9.2,5
7.5,0.61,0.26,1.9,0.073,24,88,0.99612,3.3,0.53,9.8,5
8,1.18,0.21,1.9,0.083,14,41,0.99532,3.34,0.47,10.5,5
7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2,5
7.1,0.34,0.28,2,0.082,31,68,0.99694,3.45,0.48,9.4,5
7,0.735,0.05,2,0.081,13,54,0.9966,3.39,0.57,9.8,5
8,0.81,0.25,3.4,0.076,34,85,0.99668,3.19,0.42,9.2,5
11.5,0.31,0.51,2.2,0.079,14,28,0.9982,3.03,0.93,9.8,6
8.3,0.34,0.4,2.4,0.065,24,48,0.99554,3.34,0.86,11,6
11.1,0.44,0.42,2.2,0.064,14,19,0.99758,3.25,0.57,10.4,6
6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,6
7.6,0.36,0.31,1.7,0.079,26,65,0.99716,3.46,0.62,9.5,6
7,0.58,0.28,4.8,0.085,12,69,0.99633,3.32,0.7,11,6
10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,6
6.1,0.48,0.09,1.7,0.078,18,30,0.99402,3.45,0.54,11.2,6
6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,6
7.3,0.44,0.2,1.6,0.049,24,64,0.9935,3.38,0.57,11.7,6
7.8,0.91,0.07,1.9,0.058,22,47,0.99525,3.51,0.43,10.7,6
